seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
3463.0,14770.0,5429.0,-1225.0,-21703.0,-9806.0,6883.0,0,0,0,NONE,0,2019-06-14T16:35:32.495843
3429.0,14752.0,5464.0,-1179.0,-21650.0,-9766.0,6929.0,0,0,0,NONE,0,2019-06-14T16:35:33.063143
3455.0,14753.0,5450.0,-1179.0,-21747.0,-9791.0,6940.0,0,0,0,NONE,0,2019-06-14T16:35:33.632848
3415.0,14742.0,5430.0,-1180.0,-21678.0,-9795.0,7037.0,0,0,0,NONE,0,2019-06-14T16:35:34.199377
3387.0,14797.0,5457.0,-1179.0,-21767.0,-9871.0,7077.0,0,0,0,NONE,0,2019-06-14T16:35:34.769596
3451.0,14781.0,5436.0,-1137.0,-21741.0,-9849.0,7178.0,0,0,0,NONE,0,2019-06-14T16:35:35.335236
3424.0,14744.0,5467.0,-1127.0,-21895.0,-9901.0,7222.0,0,0,0,NONE,0,2019-06-14T16:35:35.906380
3453.0,14789.0,5478.0,-1226.0,-21838.0,-9940.0,7222.0,0,0,0,NONE,0,2019-06-14T16:35:36.469784
3433.0,14753.0,5544.0,-1201.0,-21890.0,-9923.0,7315.0,0,0,0,NONE,0,2019-06-14T16:35:37.043625
3449.0,14825.0,5502.0,-1167.0,-21877.0,-10003.0,7333.0,0,0,0,NONE,0,2019-06-14T16:35:37.605463
3468.0,14766.0,5520.0,-1179.0,-21948.0,-9991.0,7379.0,0,0,0,NONE,0,2019-06-14T16:35:38.179498
3456.0,14738.0,5577.0,-1133.0,-22015.0,-10034.0,7416.0,0,0,0,NONE,0,2019-06-14T16:35:38.742484
3503.0,14789.0,5598.0,-1191.0,-22117.0,-9944.0,7410.0,0,0,0,NONE,0,2019-06-14T16:35:39.316549
3467.0,14814.0,5576.0,-1129.0,-22131.0,-9887.0,7437.0,0,0,0,NONE,0,2019-06-14T16:35:39.877743
3540.0,14766.0,5594.0,-1172.0,-22161.0,-9903.0,7491.0,0,0,0,NONE,0,2019-06-14T16:35:40.453869
3502.0,14778.0,5646.0,-1144.0,-22092.0,-9923.0,7550.0,0,0,0,NONE,0,2019-06-14T16:35:41.013836
3553.0,14802.0,5605.0,-1171.0,-22177.0,-9847.0,7535.0,0,0,0,NONE,0,2019-06-14T16:35:41.590088
3582.0,14778.0,5560.0,-1192.0,-22225.0,-9846.0,7600.0,0,0,0,NONE,0,2019-06-14T16:35:42.149970
3602.0,14781.0,5652.0,-1126.0,-22272.0,-9793.0,7544.0,0,0,0,NONE,0,2019-06-14T16:35:42.726985
3599.0,14764.0,5630.0,-1159.0,-22323.0,-9816.0,7636.0,0,0,0,NONE,0,2019-06-14T16:35:43.285912
