seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-2393.0,-1812.0,3579.0,2924.0,2333.0,-82.0,5248.0,0,0,0,NONE,0,2019-06-14T11:58:18.034732
-2337.0,-1780.0,3592.0,2906.0,2409.0,-79.0,5207.0,0,0,0,NONE,0,2019-06-14T11:58:18.594089
-2433.0,-1808.0,3665.0,2918.0,2437.0,-12.0,5244.0,0,0,0,NONE,0,2019-06-14T11:58:19.170905
-2406.0,-1873.0,3587.0,2900.0,2407.0,-27.0,5192.0,0,0,0,NONE,0,2019-06-14T11:58:19.728863
-2426.0,-1810.0,3620.0,2896.0,2465.0,6.0,5246.0,0,0,0,NONE,0,2019-06-14T11:58:20.306684
-2444.0,-1891.0,3539.0,2851.0,2496.0,-49.0,5183.0,0,0,0,NONE,0,2019-06-14T11:58:20.863602
-2451.0,-1821.0,3646.0,2904.0,2550.0,-3.0,5170.0,0,0,0,NONE,0,2019-06-14T11:58:21.442830
-2411.0,-1865.0,3544.0,2857.0,2482.0,90.0,5163.0,0,0,0,NONE,0,2019-06-14T11:58:21.998411
-2455.0,-1852.0,3596.0,2892.0,2542.0,-28.0,5145.0,0,0,0,NONE,0,2019-06-14T11:58:22.578945
-2462.0,-1803.0,3594.0,2848.0,2542.0,43.0,5111.0,0,0,0,NONE,0,2019-06-14T11:58:23.133277
-2490.0,-1820.0,3565.0,2847.0,2589.0,86.0,5109.0,0,0,0,NONE,0,2019-06-14T11:58:23.714573
-2529.0,-1870.0,3550.0,2837.0,2583.0,79.0,5136.0,0,0,0,NONE,0,2019-06-14T11:58:24.268103
-2555.0,-1861.0,3597.0,2831.0,2595.0,69.0,5069.0,0,0,0,NONE,0,2019-06-14T11:58:24.850174
-2557.0,-1891.0,3594.0,2860.0,2570.0,125.0,5107.0,0,0,0,NONE,0,2019-06-14T11:58:25.403012
-2579.0,-1838.0,3549.0,2793.0,2555.0,129.0,5088.0,0,0,0,NONE,0,2019-06-14T11:58:25.986763
-2554.0,-1911.0,3558.0,2831.0,2624.0,66.0,5061.0,0,0,0,NONE,0,2019-06-14T11:58:26.537730
-2602.0,-1911.0,3576.0,2819.0,2689.0,139.0,5037.0,0,0,0,NONE,0,2019-06-14T11:58:27.122079
-2579.0,-1902.0,3593.0,2801.0,2743.0,151.0,5054.0,0,0,0,NONE,0,2019-06-14T11:58:27.672654
-2570.0,-1860.0,3579.0,2798.0,2764.0,183.0,5032.0,0,0,0,NONE,0,2019-06-14T11:58:28.258025
-2604.0,-1892.0,3520.0,2885.0,2735.0,189.0,5049.0,0,0,0,NONE,0,2019-06-14T11:58:28.807456
