seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-1288.0,10656.0,2859.0,-3858.0,-7236.0,-6913.0,-298.0,0,0,0,NONE,0,2019-06-14T16:58:43.299826
-1260.0,10714.0,2931.0,-3798.0,-7304.0,-6895.0,-264.0,0,0,0,NONE,0,2019-06-14T16:58:43.831206
-1255.0,10743.0,2934.0,-3806.0,-7270.0,-6954.0,-267.0,0,0,0,NONE,0,2019-06-14T16:58:44.400252
-1326.0,10765.0,2918.0,-3770.0,-7365.0,-6998.0,-219.0,0,0,0,NONE,0,2019-06-14T16:58:44.966977
-1297.0,10797.0,2944.0,-3720.0,-7380.0,-7009.0,-220.0,0,0,0,NONE,0,2019-06-14T16:58:45.536000
-1256.0,10840.0,2969.0,-3761.0,-7421.0,-7050.0,-229.0,0,0,0,NONE,0,2019-06-14T16:58:46.104770
-1242.0,10865.0,2901.0,-3699.0,-7526.0,-6983.0,-141.0,0,0,0,NONE,0,2019-06-14T16:58:46.672399
-1281.0,10902.0,2867.0,-3700.0,-7522.0,-7105.0,-97.0,0,0,0,NONE,0,2019-06-14T16:58:47.240368
-1239.0,10930.0,2856.0,-3640.0,-7613.0,-7000.0,-152.0,0,0,0,NONE,0,2019-06-14T16:58:47.807488
-1248.0,11044.0,2862.0,-3564.0,-7697.0,-7084.0,-86.0,0,0,0,NONE,0,2019-06-14T16:58:48.375947
-1248.0,11007.0,2823.0,-3597.0,-7678.0,-7141.0,-83.0,0,0,0,NONE,0,2019-06-14T16:58:48.943328
-1218.0,11095.0,2804.0,-3489.0,-7813.0,-7078.0,-50.0,0,0,0,NONE,0,2019-06-14T16:58:49.511472
-1265.0,11025.0,2761.0,-3512.0,-7824.0,-7193.0,-57.0,0,0,0,NONE,0,2019-06-14T16:58:50.079712
-1177.0,11158.0,2765.0,-3506.0,-7901.0,-7277.0,31.0,0,0,0,NONE,0,2019-06-14T16:58:50.648838
-1260.0,11225.0,2774.0,-3469.0,-7948.0,-7262.0,45.0,0,0,0,NONE,0,2019-06-14T16:58:51.216669
-1134.0,11201.0,2745.0,-3417.0,-7977.0,-7259.0,31.0,0,0,0,NONE,0,2019-06-14T16:58:51.785125
-1214.0,11224.0,2660.0,-3459.0,-8093.0,-7308.0,52.0,0,0,0,NONE,0,2019-06-14T16:58:52.351554
-1207.0,11282.0,2699.0,-3385.0,-8119.0,-7351.0,127.0,0,0,0,NONE,0,2019-06-14T16:58:52.919411
-1141.0,11337.0,2651.0,-3406.0,-8187.0,-7355.0,94.0,0,0,0,NONE,0,2019-06-14T16:58:53.488165
-1111.0,11314.0,2647.0,-3460.0,-8247.0,-7420.0,187.0,0,0,0,NONE,0,2019-06-14T16:58:54.055430
