seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3753.0,-4737.0,3286.0,879.0,4062.0,3618.0,169.0,0,0,0,NONE,0,2019-06-14T12:21:05.113538
-3749.0,-4730.0,3345.0,957.0,4087.0,3564.0,170.0,0,0,0,NONE,0,2019-06-14T12:21:05.662550
-3768.0,-4670.0,3316.0,860.0,4025.0,3620.0,144.0,0,0,0,NONE,0,2019-06-14T12:21:06.249946
-3757.0,-4724.0,3310.0,953.0,4129.0,3656.0,133.0,0,0,0,NONE,0,2019-06-14T12:21:06.797872
-3680.0,-4742.0,3338.0,936.0,4129.0,3575.0,95.0,0,0,0,NONE,0,2019-06-14T12:21:07.388148
-3725.0,-4755.0,3314.0,972.0,4062.0,3593.0,165.0,0,0,0,NONE,0,2019-06-14T12:21:07.933432
-3785.0,-4753.0,3268.0,941.0,4061.0,3648.0,108.0,0,0,0,NONE,0,2019-06-14T12:21:08.522080
-3735.0,-4762.0,3292.0,932.0,4106.0,3634.0,129.0,0,0,0,NONE,0,2019-06-14T12:21:09.068610
-3748.0,-4787.0,3300.0,933.0,4169.0,3620.0,49.0,0,0,0,NONE,0,2019-06-14T12:21:09.658212
-3760.0,-4722.0,3327.0,898.0,4100.0,3616.0,84.0,0,0,0,NONE,0,2019-06-14T12:21:10.203955
-3741.0,-4759.0,3324.0,932.0,4105.0,3642.0,58.0,0,0,0,NONE,0,2019-06-14T12:21:10.794295
-3725.0,-4726.0,3323.0,926.0,4087.0,3620.0,17.0,0,0,0,NONE,0,2019-06-14T12:21:11.339154
-3754.0,-4824.0,3371.0,879.0,4078.0,3620.0,97.0,0,0,0,NONE,0,2019-06-14T12:21:11.930505
-3832.0,-4720.0,3309.0,972.0,4127.0,3599.0,23.0,0,0,0,NONE,0,2019-06-14T12:21:12.474671
-3782.0,-4774.0,3347.0,883.0,4154.0,3591.0,79.0,0,0,0,NONE,0,2019-06-14T12:21:13.066522
-3747.0,-4753.0,3274.0,920.0,4119.0,3621.0,29.0,0,0,0,NONE,0,2019-06-14T12:21:13.609896
-3746.0,-4769.0,3260.0,931.0,4172.0,3620.0,58.0,0,0,0,NONE,0,2019-06-14T12:21:14.202800
-3756.0,-4746.0,3315.0,949.0,4148.0,3611.0,75.0,0,0,0,NONE,0,2019-06-14T12:21:14.745315
-3761.0,-4740.0,3302.0,938.0,4216.0,3623.0,58.0,0,0,0,NONE,0,2019-06-14T12:21:15.339033
-3823.0,-4751.0,3310.0,875.0,4170.0,3667.0,41.0,0,0,0,NONE,0,2019-06-14T12:21:15.880707
