seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3465.0,6270.0,-6390.0,7219.0,-6228.0,-7233.0,8522.0,0,0,0,NONE,0,2019-06-14T13:09:37.452693
-3465.0,6201.0,-6376.0,7232.0,-6201.0,-7190.0,8466.0,0,0,0,NONE,0,2019-06-14T13:09:38.014902
-3457.0,6131.0,-6363.0,7206.0,-6168.0,-7188.0,8455.0,0,0,0,NONE,0,2019-06-14T13:09:38.589001
-3465.0,6122.0,-6317.0,7163.0,-6133.0,-7159.0,8482.0,0,0,0,NONE,0,2019-06-14T13:09:39.150002
-3431.0,6060.0,-6250.0,7179.0,-6043.0,-7154.0,8439.0,0,0,0,NONE,0,2019-06-14T13:09:39.724906
-3483.0,6022.0,-6251.0,7117.0,-6072.0,-7037.0,8380.0,0,0,0,NONE,0,2019-06-14T13:09:40.284943
-3490.0,5998.0,-6231.0,7193.0,-5932.0,-6982.0,8298.0,0,0,0,NONE,0,2019-06-14T13:09:40.860691
-3494.0,5954.0,-6203.0,7154.0,-5874.0,-6955.0,8343.0,0,0,0,NONE,0,2019-06-14T13:09:41.419751
-3449.0,5933.0,-6178.0,7172.0,-5869.0,-6945.0,8277.0,0,0,0,NONE,0,2019-06-14T13:09:41.996511
-3502.0,5988.0,-6150.0,7137.0,-5799.0,-6931.0,8286.0,0,0,0,NONE,0,2019-06-14T13:09:42.554734
-3409.0,5891.0,-6144.0,7063.0,-5781.0,-6852.0,8211.0,0,0,0,NONE,0,2019-06-14T13:09:43.132005
-3490.0,5850.0,-6078.0,7127.0,-5691.0,-6830.0,8213.0,0,0,0,NONE,0,2019-06-14T13:09:43.689413
-3442.0,5876.0,-5991.0,7073.0,-5674.0,-6755.0,8140.0,0,0,0,NONE,0,2019-06-14T13:09:44.268138
-3456.0,5786.0,-6050.0,7091.0,-5658.0,-6773.0,8093.0,0,0,0,NONE,0,2019-06-14T13:09:44.824507
-3530.0,5757.0,-6013.0,7082.0,-5595.0,-6765.0,8022.0,0,0,0,NONE,0,2019-06-14T13:09:45.404000
-3409.0,5758.0,-5971.0,7031.0,-5548.0,-6670.0,8056.0,0,0,0,NONE,0,2019-06-14T13:09:45.959321
-3373.0,5716.0,-5979.0,6911.0,-5474.0,-6663.0,8036.0,0,0,0,NONE,0,2019-06-14T13:09:46.539697
-3425.0,5672.0,-5912.0,7032.0,-5505.0,-6623.0,8004.0,0,0,0,NONE,0,2019-06-14T13:09:47.094281
-3361.0,5734.0,-5915.0,6988.0,-5371.0,-6571.0,7991.0,0,0,0,NONE,0,2019-06-14T13:09:47.675428
-3342.0,5602.0,-5828.0,7002.0,-5329.0,-6516.0,7910.0,0,0,0,NONE,0,2019-06-14T13:09:48.229175
