seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3653.0,-4266.0,3445.0,421.0,5541.0,3204.0,-795.0,0,0,0,NONE,0,2019-06-14T12:02:39.182550
-3681.0,-4299.0,3438.0,407.0,5542.0,3172.0,-861.0,0,0,0,NONE,0,2019-06-14T12:02:39.752039
-3621.0,-4292.0,3492.0,398.0,5581.0,3230.0,-802.0,0,0,0,NONE,0,2019-06-14T12:02:40.317879
-3620.0,-4303.0,3411.0,393.0,5610.0,3229.0,-800.0,0,0,0,NONE,0,2019-06-14T12:02:40.888337
-3534.0,-4300.0,3422.0,390.0,5621.0,3195.0,-823.0,0,0,0,NONE,0,2019-06-14T12:02:41.452997
-3540.0,-4246.0,3466.0,359.0,5632.0,3261.0,-861.0,0,0,0,NONE,0,2019-06-14T12:02:42.024687
-3527.0,-4243.0,3490.0,352.0,5533.0,3200.0,-802.0,0,0,0,NONE,0,2019-06-14T12:02:42.588146
-3527.0,-4292.0,3491.0,388.0,5546.0,3280.0,-828.0,0,0,0,NONE,0,2019-06-14T12:02:43.160844
-3497.0,-4344.0,3521.0,425.0,5634.0,3256.0,-872.0,0,0,0,NONE,0,2019-06-14T12:02:43.723280
-3539.0,-4259.0,3439.0,356.0,5616.0,3285.0,-906.0,0,0,0,NONE,0,2019-06-14T12:02:44.297006
-3534.0,-4272.0,3462.0,332.0,5634.0,3204.0,-887.0,0,0,0,NONE,0,2019-06-14T12:02:44.858432
-3546.0,-4290.0,3409.0,347.0,5581.0,3257.0,-943.0,0,0,0,NONE,0,2019-06-14T12:02:45.433497
-3496.0,-4319.0,3463.0,339.0,5585.0,3275.0,-955.0,0,0,0,NONE,0,2019-06-14T12:02:45.993668
-3506.0,-4332.0,3469.0,298.0,5627.0,3296.0,-860.0,0,0,0,NONE,0,2019-06-14T12:02:46.569905
-3506.0,-4363.0,3435.0,392.0,5615.0,3222.0,-961.0,0,0,0,NONE,0,2019-06-14T12:02:47.128748
-3438.0,-4286.0,3489.0,329.0,5587.0,3229.0,-1024.0,0,0,0,NONE,0,2019-06-14T12:02:47.705781
-3534.0,-4306.0,3482.0,292.0,5578.0,3287.0,-1000.0,0,0,0,NONE,0,2019-06-14T12:02:48.263941
-3487.0,-4301.0,3446.0,359.0,5573.0,3229.0,-1038.0,0,0,0,NONE,0,2019-06-14T12:02:48.842055
-3448.0,-4276.0,3480.0,332.0,5623.0,3275.0,-1007.0,0,0,0,NONE,0,2019-06-14T12:02:49.399052
-3392.0,-4351.0,3495.0,329.0,5635.0,3324.0,-1048.0,0,0,0,NONE,0,2019-06-14T12:02:49.978725
