seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3893.0,5864.0,4061.0,-1418.0,-848.0,-2534.0,-2109.0,0,0,0,NONE,0,2019-06-14T16:51:08.805543
-3858.0,5901.0,4096.0,-1466.0,-911.0,-2557.0,-2141.0,0,0,0,NONE,0,2019-06-14T16:51:09.336705
-3919.0,5906.0,4052.0,-1472.0,-855.0,-2591.0,-2138.0,0,0,0,NONE,0,2019-06-14T16:51:09.904747
-3873.0,5877.0,4080.0,-1495.0,-873.0,-2544.0,-2171.0,0,0,0,NONE,0,2019-06-14T16:51:10.472643
-3868.0,5905.0,4109.0,-1470.0,-813.0,-2513.0,-2135.0,0,0,0,NONE,0,2019-06-14T16:51:11.041449
-3849.0,5857.0,4088.0,-1502.0,-834.0,-2574.0,-2168.0,0,0,0,NONE,0,2019-06-14T16:51:11.609236
-3840.0,5922.0,4065.0,-1505.0,-859.0,-2518.0,-2160.0,0,0,0,NONE,0,2019-06-14T16:51:12.177217
-3860.0,5887.0,4083.0,-1524.0,-836.0,-2548.0,-2210.0,0,0,0,NONE,0,2019-06-14T16:51:12.744881
-3818.0,5787.0,4052.0,-1495.0,-875.0,-2574.0,-2191.0,0,0,0,NONE,0,2019-06-14T16:51:13.313564
-3875.0,5883.0,4080.0,-1517.0,-885.0,-2492.0,-2144.0,0,0,0,NONE,0,2019-06-14T16:51:13.881198
-3805.0,5834.0,4104.0,-1544.0,-896.0,-2549.0,-2226.0,0,0,0,NONE,0,2019-06-14T16:51:14.449463
-3854.0,5844.0,4059.0,-1453.0,-895.0,-2480.0,-2276.0,0,0,0,NONE,0,2019-06-14T16:51:15.018564
-3837.0,5864.0,4101.0,-1445.0,-859.0,-2525.0,-2277.0,0,0,0,NONE,0,2019-06-14T16:51:15.585672
-3804.0,5836.0,4084.0,-1514.0,-861.0,-2562.0,-2257.0,0,0,0,NONE,0,2019-06-14T16:51:16.154627
-3770.0,5851.0,4040.0,-1526.0,-885.0,-2553.0,-2266.0,0,0,0,NONE,0,2019-06-14T16:51:16.722459
-3851.0,5830.0,4101.0,-1477.0,-843.0,-2503.0,-2271.0,0,0,0,NONE,0,2019-06-14T16:51:17.290283
-3793.0,5794.0,4070.0,-1470.0,-862.0,-2459.0,-2262.0,0,0,0,NONE,0,2019-06-14T16:51:17.859168
-3809.0,5788.0,4138.0,-1514.0,-914.0,-2498.0,-2289.0,0,0,0,NONE,0,2019-06-14T16:51:18.427225
-3802.0,5841.0,4087.0,-1473.0,-969.0,-2543.0,-2332.0,0,0,0,NONE,0,2019-06-14T16:51:18.995858
-3780.0,5802.0,4193.0,-1495.0,-859.0,-2569.0,-2400.0,0,0,0,NONE,0,2019-06-14T16:51:19.562468
