seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-3171.0,-2939.0,1388.0,-839.0,5273.0,35.0,-1006.0,0,0,0,NONE,0,2019-06-14T13:01:29.757014
-3171.0,-2885.0,1318.0,-813.0,5178.0,15.0,-1068.0,0,0,0,NONE,0,2019-06-14T13:01:30.359829
-3200.0,-2826.0,1342.0,-899.0,5157.0,41.0,-993.0,0,0,0,NONE,0,2019-06-14T13:01:30.893015
-3226.0,-2816.0,1281.0,-890.0,5145.0,-69.0,-959.0,0,0,0,NONE,0,2019-06-14T13:01:31.495745
-3170.0,-2790.0,1274.0,-884.0,5036.0,-94.0,-1050.0,0,0,0,NONE,0,2019-06-14T13:01:32.028434
-3214.0,-2736.0,1241.0,-840.0,5003.0,-95.0,-990.0,0,0,0,NONE,0,2019-06-14T13:01:32.632026
-3160.0,-2641.0,1249.0,-842.0,4952.0,-131.0,-968.0,0,0,0,NONE,0,2019-06-14T13:01:33.163899
-3134.0,-2607.0,1137.0,-892.0,4920.0,-127.0,-970.0,0,0,0,NONE,0,2019-06-14T13:01:33.768497
-3144.0,-2542.0,1159.0,-862.0,4822.0,-130.0,-984.0,0,0,0,NONE,0,2019-06-14T13:01:34.299273
-3144.0,-2543.0,1132.0,-897.0,4811.0,-94.0,-971.0,0,0,0,NONE,0,2019-06-14T13:01:34.904723
-3132.0,-2521.0,1121.0,-879.0,4712.0,-159.0,-931.0,0,0,0,NONE,0,2019-06-14T13:01:35.434675
-3121.0,-2478.0,1102.0,-861.0,4765.0,-188.0,-951.0,0,0,0,NONE,0,2019-06-14T13:01:36.040638
-3057.0,-2405.0,1099.0,-935.0,4654.0,-224.0,-964.0,0,0,0,NONE,0,2019-06-14T13:01:36.570177
-3056.0,-2410.0,1121.0,-913.0,4566.0,-278.0,-964.0,0,0,0,NONE,0,2019-06-14T13:01:37.176804
-3026.0,-2382.0,1065.0,-920.0,4653.0,-321.0,-888.0,0,0,0,NONE,0,2019-06-14T13:01:37.705374
-3047.0,-2260.0,1026.0,-895.0,4591.0,-328.0,-972.0,0,0,0,NONE,0,2019-06-14T13:01:38.313045
-3014.0,-2332.0,1108.0,-969.0,4554.0,-387.0,-874.0,0,0,0,NONE,0,2019-06-14T13:01:38.840893
-2978.0,-2206.0,1038.0,-890.0,4457.0,-349.0,-826.0,0,0,0,NONE,0,2019-06-14T13:01:39.449266
-3010.0,-2189.0,1040.0,-942.0,4448.0,-343.0,-826.0,0,0,0,NONE,0,2019-06-14T13:01:39.976250
-3007.0,-2156.0,1006.0,-930.0,4368.0,-344.0,-852.0,0,0,0,NONE,0,2019-06-14T13:01:40.585423
