seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-4128.0,-3717.0,3303.0,1039.0,5319.0,2429.0,1032.0,0,0,0,NONE,0,2019-06-14T12:01:19.720867
-4219.0,-3743.0,3274.0,1088.0,5300.0,2404.0,1069.0,0,0,0,NONE,0,2019-06-14T12:01:20.324759
-4150.0,-3768.0,3298.0,929.0,5342.0,2395.0,929.0,0,0,0,NONE,0,2019-06-14T12:01:20.857777
-4190.0,-3823.0,3302.0,1017.0,5337.0,2339.0,957.0,0,0,0,NONE,0,2019-06-14T12:01:21.460204
-4204.0,-3803.0,3342.0,1035.0,5371.0,2388.0,1027.0,0,0,0,NONE,0,2019-06-14T12:01:21.991951
-4170.0,-3815.0,3310.0,989.0,5350.0,2391.0,1008.0,0,0,0,NONE,0,2019-06-14T12:01:22.596248
-4144.0,-3832.0,3295.0,1007.0,5389.0,2379.0,886.0,0,0,0,NONE,0,2019-06-14T12:01:23.127292
-4227.0,-3869.0,3316.0,1001.0,5384.0,2411.0,903.0,0,0,0,NONE,0,2019-06-14T12:01:23.732377
-4199.0,-3822.0,3316.0,945.0,5387.0,2415.0,938.0,0,0,0,NONE,0,2019-06-14T12:01:24.261820
-4224.0,-3861.0,3356.0,970.0,5362.0,2463.0,937.0,0,0,0,NONE,0,2019-06-14T12:01:24.868790
-4215.0,-3845.0,3335.0,999.0,5423.0,2441.0,912.0,0,0,0,NONE,0,2019-06-14T12:01:25.397383
-4221.0,-3852.0,3351.0,986.0,5380.0,2434.0,930.0,0,0,0,NONE,0,2019-06-14T12:01:26.004952
-4167.0,-3848.0,3339.0,949.0,5411.0,2530.0,888.0,0,0,0,NONE,0,2019-06-14T12:01:26.531623
-4145.0,-3848.0,3381.0,927.0,5379.0,2478.0,845.0,0,0,0,NONE,0,2019-06-14T12:01:27.099344
-4180.0,-3889.0,3397.0,989.0,5406.0,2445.0,796.0,0,0,0,NONE,0,2019-06-14T12:01:27.666840
-4193.0,-3872.0,3369.0,937.0,5364.0,2550.0,897.0,0,0,0,NONE,0,2019-06-14T12:01:28.233906
-4175.0,-3897.0,3298.0,896.0,5382.0,2476.0,833.0,0,0,0,NONE,0,2019-06-14T12:01:28.801663
-4154.0,-3933.0,3350.0,934.0,5412.0,2520.0,793.0,0,0,0,NONE,0,2019-06-14T12:01:29.369191
-4121.0,-3911.0,3348.0,966.0,5367.0,2513.0,744.0,0,0,0,NONE,0,2019-06-14T12:01:29.936718
-4194.0,-3881.0,3366.0,898.0,5435.0,2527.0,746.0,0,0,0,NONE,0,2019-06-14T12:01:30.504349
