seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-776.0,3708.0,2732.0,-6093.0,8029.0,2292.0,-8430.0,0,0,0,NONE,0,2019-06-14T14:51:06.143004
-734.0,3751.0,2732.0,-6081.0,7975.0,2341.0,-8405.0,0,0,0,NONE,0,2019-06-14T14:51:06.702388
-646.0,3678.0,2743.0,-6051.0,7905.0,2443.0,-8361.0,0,0,0,NONE,0,2019-06-14T14:51:07.279382
-618.0,3766.0,2796.0,-6079.0,7872.0,2440.0,-8371.0,0,0,0,NONE,0,2019-06-14T14:51:07.839508
-637.0,3703.0,2864.0,-6101.0,7767.0,2439.0,-8337.0,0,0,0,NONE,0,2019-06-14T14:51:08.416327
-571.0,3735.0,2806.0,-6109.0,7772.0,2430.0,-8273.0,0,0,0,NONE,0,2019-06-14T14:51:08.972984
-529.0,3747.0,2865.0,-6092.0,7701.0,2397.0,-8278.0,0,0,0,NONE,0,2019-06-14T14:51:09.552172
-505.0,3770.0,2889.0,-6135.0,7713.0,2364.0,-8209.0,0,0,0,NONE,0,2019-06-14T14:51:10.108131
-466.0,3813.0,2905.0,-6116.0,7674.0,2378.0,-8242.0,0,0,0,NONE,0,2019-06-14T14:51:10.688241
-381.0,3749.0,2940.0,-6171.0,7620.0,2370.0,-8194.0,0,0,0,NONE,0,2019-06-14T14:51:11.243571
-365.0,3780.0,2951.0,-6112.0,7558.0,2378.0,-8133.0,0,0,0,NONE,0,2019-06-14T14:51:11.824069
-372.0,3771.0,2937.0,-6167.0,7578.0,2393.0,-8151.0,0,0,0,NONE,0,2019-06-14T14:51:12.378123
-242.0,3803.0,2991.0,-6105.0,7529.0,2443.0,-8148.0,0,0,0,NONE,0,2019-06-14T14:51:12.960314
-281.0,3736.0,3008.0,-6248.0,7490.0,2429.0,-8170.0,0,0,0,NONE,0,2019-06-14T14:51:13.512504
-206.0,3733.0,2961.0,-6202.0,7470.0,2472.0,-8104.0,0,0,0,NONE,0,2019-06-14T14:51:14.097008
-136.0,3738.0,3001.0,-6199.0,7389.0,2478.0,-8162.0,0,0,0,NONE,0,2019-06-14T14:51:14.649391
-106.0,3733.0,3013.0,-6218.0,7418.0,2543.0,-8109.0,0,0,0,NONE,0,2019-06-14T14:51:15.232837
-122.0,3734.0,3033.0,-6301.0,7372.0,2570.0,-8088.0,0,0,0,NONE,0,2019-06-14T14:51:15.783451
-92.0,3757.0,3056.0,-6282.0,7333.0,2575.0,-8074.0,0,0,0,NONE,0,2019-06-14T14:51:16.369072
-60.0,3698.0,3044.0,-6264.0,7331.0,2588.0,-8064.0,0,0,0,NONE,0,2019-06-14T14:51:16.917510
