seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
4976.0,4562.0,3981.0,10559.0,7517.0,-2186.0,-181.0,0,0,0,NONE,0,2019-06-24T11:26:25.759121
4962.0,4600.0,3988.0,10578.0,7461.0,-2223.0,-159.0,0,0,0,NONE,0,2019-06-24T11:26:26.011249
4975.0,4651.0,3987.0,10542.0,7445.0,-2209.0,-164.0,0,0,0,NONE,0,2019-06-24T11:26:26.294398
4973.0,4621.0,3949.0,10602.0,7452.0,-2280.0,-179.0,0,0,0,NONE,0,2019-06-24T11:26:26.584872
4931.0,4661.0,3904.0,10505.0,7469.0,-2187.0,-185.0,0,0,0,NONE,0,2019-06-24T11:26:26.860974
4930.0,4657.0,3958.0,10503.0,7419.0,-2206.0,-183.0,0,0,0,NONE,0,2019-06-24T11:26:27.145387
4984.0,4670.0,3880.0,10583.0,7472.0,-2257.0,-99.0,0,0,0,NONE,0,2019-06-24T11:26:27.428594
4937.0,4625.0,3884.0,10533.0,7456.0,-2208.0,-158.0,0,0,0,NONE,0,2019-06-24T11:26:27.720273
4974.0,4634.0,3856.0,10559.0,7475.0,-2258.0,-188.0,0,0,0,NONE,0,2019-06-24T11:26:27.995205
4970.0,4628.0,3868.0,10587.0,7508.0,-2258.0,-146.0,0,0,0,NONE,0,2019-06-24T11:26:28.279721
4975.0,4624.0,3890.0,10586.0,7444.0,-2227.0,-90.0,0,0,0,NONE,0,2019-06-24T11:26:28.562844
4960.0,4719.0,3935.0,10619.0,7482.0,-2164.0,-113.0,0,0,0,NONE,0,2019-06-24T11:26:28.855487
4996.0,4700.0,3928.0,10599.0,7416.0,-2194.0,-110.0,0,0,0,NONE,0,2019-06-24T11:26:29.130685
4958.0,4697.0,3843.0,10601.0,7420.0,-2251.0,-91.0,0,0,0,NONE,0,2019-06-24T11:26:29.413985
4938.0,4654.0,3861.0,10621.0,7443.0,-2245.0,-124.0,0,0,0,NONE,0,2019-06-24T11:26:29.697147
4966.0,4659.0,3903.0,10570.0,7416.0,-2234.0,-79.0,0,0,0,NONE,0,2019-06-24T11:26:29.990703
4933.0,4665.0,3892.0,10601.0,7464.0,-2263.0,-140.0,0,0,0,NONE,0,2019-06-24T11:26:30.265088
5006.0,4693.0,3859.0,10590.0,7402.0,-2221.0,-91.0,0,0,0,NONE,0,2019-06-24T11:26:30.548172
5006.0,4714.0,3833.0,10633.0,7399.0,-2246.0,-87.0,0,0,0,NONE,0,2019-06-24T11:26:30.831491
4961.0,4692.0,3813.0,10568.0,7397.0,-2252.0,-60.0,0,0,0,NONE,0,2019-06-24T11:26:31.125936
