seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
5939.0,3834.0,2009.0,11218.0,9871.0,1017.0,55.0,0,0,0,NONE,0,2019-06-24T11:32:18.591267
5895.0,3840.0,1997.0,11224.0,9828.0,1037.0,0.0,0,0,0,NONE,0,2019-06-24T11:32:18.866247
5927.0,3812.0,2030.0,11249.0,9852.0,978.0,15.0,0,0,0,NONE,0,2019-06-24T11:32:19.150484
5928.0,3839.0,1948.0,11224.0,9860.0,1018.0,57.0,0,0,0,NONE,0,2019-06-24T11:32:19.433733
5934.0,3821.0,2056.0,11195.0,9905.0,1066.0,14.0,0,0,0,NONE,0,2019-06-24T11:32:19.726440
5878.0,3804.0,2014.0,11213.0,9824.0,1071.0,46.0,0,0,0,NONE,0,2019-06-24T11:32:20.000553
5880.0,3818.0,1995.0,11274.0,9861.0,1008.0,28.0,0,0,0,NONE,0,2019-06-24T11:32:20.283455
5913.0,3867.0,2045.0,11242.0,9809.0,1020.0,23.0,0,0,0,NONE,0,2019-06-24T11:32:20.568006
5961.0,3841.0,2002.0,11186.0,9840.0,1128.0,-7.0,0,0,0,NONE,0,2019-06-24T11:32:20.861662
5883.0,3827.0,2050.0,11211.0,9832.0,1079.0,-13.0,0,0,0,NONE,0,2019-06-24T11:32:21.134581
5939.0,3775.0,2013.0,11200.0,9834.0,1135.0,26.0,0,0,0,NONE,0,2019-06-24T11:32:21.417857
5881.0,3801.0,2040.0,11264.0,9926.0,1110.0,-49.0,0,0,0,NONE,0,2019-06-24T11:32:21.701257
5957.0,3914.0,2050.0,11210.0,9902.0,1084.0,-39.0,0,0,0,NONE,0,2019-06-24T11:32:21.998259
5932.0,3824.0,2025.0,11204.0,9873.0,1145.0,18.0,0,0,0,NONE,0,2019-06-24T11:32:22.268826
5904.0,3876.0,1982.0,11271.0,9866.0,1184.0,-40.0,0,0,0,NONE,0,2019-06-24T11:32:22.552222
5922.0,3843.0,1979.0,11196.0,9872.0,1195.0,-36.0,0,0,0,NONE,0,2019-06-24T11:32:22.835434
5923.0,3839.0,1991.0,11257.0,9876.0,1215.0,-62.0,0,0,0,NONE,0,2019-06-24T11:32:23.133655
5974.0,3789.0,1975.0,11262.0,9871.0,1134.0,-47.0,0,0,0,NONE,0,2019-06-24T11:32:23.403186
5924.0,3841.0,1997.0,11226.0,9856.0,1230.0,-97.0,0,0,0,NONE,0,2019-06-24T11:32:23.686582
5917.0,3750.0,1988.0,11235.0,9893.0,1257.0,-78.0,0,0,0,NONE,0,2019-06-24T11:32:23.969869
