seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-13700.0,-576.0,2702.0,4058.0,16580.0,-4232.0,-1211.0,0,0,0,NONE,0,2019-06-20T18:59:23.474246
-13710.0,-539.0,2717.0,4109.0,16546.0,-4274.0,-1189.0,0,0,0,NONE,0,2019-06-20T18:59:23.752388
-13776.0,-534.0,2738.0,4115.0,16594.0,-4206.0,-1184.0,0,0,0,NONE,0,2019-06-20T18:59:24.035570
-13712.0,-554.0,2637.0,4110.0,16524.0,-4303.0,-1223.0,0,0,0,NONE,0,2019-06-20T18:59:24.320134
-13677.0,-577.0,2643.0,4144.0,16555.0,-4228.0,-1205.0,0,0,0,NONE,0,2019-06-20T18:59:24.610896
-13720.0,-538.0,2675.0,4058.0,16546.0,-4202.0,-1179.0,0,0,0,NONE,0,2019-06-20T18:59:24.887827
-13696.0,-595.0,2708.0,4117.0,16507.0,-4168.0,-1220.0,0,0,0,NONE,0,2019-06-20T18:59:25.172515
-13640.0,-574.0,2712.0,4161.0,16594.0,-4239.0,-1269.0,0,0,0,NONE,0,2019-06-20T18:59:25.455565
-13692.0,-535.0,2703.0,4126.0,16603.0,-4286.0,-1210.0,0,0,0,NONE,0,2019-06-20T18:59:25.747354
-13672.0,-581.0,2743.0,4093.0,16594.0,-4229.0,-1224.0,0,0,0,NONE,0,2019-06-20T18:59:26.024558
-13667.0,-578.0,2735.0,4146.0,16600.0,-4222.0,-1205.0,0,0,0,NONE,0,2019-06-20T18:59:26.307833
-13612.0,-577.0,2742.0,4090.0,16546.0,-4211.0,-1272.0,0,0,0,NONE,0,2019-06-20T18:59:26.592385
-13679.0,-565.0,2763.0,4033.0,16590.0,-4175.0,-1278.0,0,0,0,NONE,0,2019-06-20T18:59:26.885076
-13671.0,-510.0,2745.0,4101.0,16571.0,-4202.0,-1273.0,0,0,0,NONE,0,2019-06-20T18:59:27.160128
-13670.0,-484.0,2745.0,4107.0,16597.0,-4199.0,-1261.0,0,0,0,NONE,0,2019-06-20T18:59:27.444544
-13670.0,-542.0,2693.0,4107.0,16495.0,-4211.0,-1294.0,0,0,0,NONE,0,2019-06-20T18:59:27.727825
-13732.0,-508.0,2736.0,4087.0,16523.0,-4199.0,-1287.0,0,0,0,NONE,0,2019-06-20T18:59:28.021727
-13681.0,-544.0,2762.0,4128.0,16525.0,-4229.0,-1262.0,0,0,0,NONE,0,2019-06-20T18:59:28.296819
-13651.0,-542.0,2754.0,4048.0,16544.0,-4175.0,-1240.0,0,0,0,NONE,0,2019-06-20T18:59:28.580115
-13641.0,-499.0,2710.0,4094.0,16574.0,-4234.0,-1263.0,0,0,0,NONE,0,2019-06-20T18:59:28.864936
