seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-13474.0,-537.0,3010.0,3999.0,16634.0,-4638.0,-1215.0,0,0,0,NONE,0,2019-06-20T18:59:46.209943
-13520.0,-518.0,2992.0,4051.0,16585.0,-4721.0,-1193.0,0,0,0,NONE,0,2019-06-20T18:59:46.474333
-13517.0,-544.0,2987.0,4052.0,16584.0,-4778.0,-1249.0,0,0,0,NONE,0,2019-06-20T18:59:46.757600
-13495.0,-533.0,3050.0,4072.0,16512.0,-4741.0,-1290.0,0,0,0,NONE,0,2019-06-20T18:59:47.042137
-13530.0,-492.0,3085.0,4054.0,16525.0,-4686.0,-1270.0,0,0,0,NONE,0,2019-06-20T18:59:47.347689
-13487.0,-529.0,3066.0,4001.0,16556.0,-4709.0,-1298.0,0,0,0,NONE,0,2019-06-20T18:59:47.609888
-13506.0,-511.0,3041.0,3974.0,16584.0,-4731.0,-1239.0,0,0,0,NONE,0,2019-06-20T18:59:47.894319
-13495.0,-533.0,3126.0,3931.0,16579.0,-4830.0,-1230.0,0,0,0,NONE,0,2019-06-20T18:59:48.178873
-13516.0,-600.0,3048.0,3988.0,16602.0,-4753.0,-1240.0,0,0,0,NONE,0,2019-06-20T18:59:48.484222
-13523.0,-542.0,3048.0,4045.0,16549.0,-4827.0,-1267.0,0,0,0,NONE,0,2019-06-20T18:59:48.746612
-13512.0,-515.0,3051.0,4038.0,16504.0,-4837.0,-1247.0,0,0,0,NONE,0,2019-06-20T18:59:49.029853
-13470.0,-513.0,3147.0,3984.0,16562.0,-4857.0,-1169.0,0,0,0,NONE,0,2019-06-20T18:59:49.314319
-13529.0,-517.0,3117.0,4010.0,16465.0,-4822.0,-1216.0,0,0,0,NONE,0,2019-06-20T18:59:49.620789
-13484.0,-499.0,3062.0,4010.0,16522.0,-4859.0,-1214.0,0,0,0,NONE,0,2019-06-20T18:59:49.882140
-13514.0,-527.0,3092.0,4029.0,16558.0,-4962.0,-1230.0,0,0,0,NONE,0,2019-06-20T18:59:50.166741
-13509.0,-512.0,3087.0,3990.0,16430.0,-4912.0,-1219.0,0,0,0,NONE,0,2019-06-20T18:59:50.451174
-13481.0,-512.0,3098.0,3990.0,16513.0,-4985.0,-1212.0,0,0,0,NONE,0,2019-06-20T18:59:50.757357
-13460.0,-511.0,3088.0,4012.0,16489.0,-4950.0,-1206.0,0,0,0,NONE,0,2019-06-20T18:59:51.019082
-13468.0,-515.0,3121.0,3906.0,16415.0,-4980.0,-1218.0,0,0,0,NONE,0,2019-06-20T18:59:51.303644
-13491.0,-486.0,3094.0,3940.0,16439.0,-4967.0,-1234.0,0,0,0,NONE,0,2019-06-20T18:59:51.586901
