seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
6754.0,2775.0,1133.0,11657.0,10560.0,3885.0,-168.0,0,0,0,NONE,0,2019-06-24T11:34:40.349711
6686.0,2759.0,1112.0,11675.0,10512.0,3874.0,-223.0,0,0,0,NONE,0,2019-06-24T11:34:40.632947
6739.0,2760.0,1098.0,11715.0,10563.0,3961.0,-228.0,0,0,0,NONE,0,2019-06-24T11:34:40.935645
6757.0,2783.0,1159.0,11694.0,10614.0,3872.0,-230.0,0,0,0,NONE,0,2019-06-24T11:34:41.199460
6752.0,2852.0,1085.0,11733.0,10556.0,3866.0,-236.0,0,0,0,NONE,0,2019-06-24T11:34:41.482778
6747.0,2843.0,1089.0,11656.0,10599.0,3887.0,-228.0,0,0,0,NONE,0,2019-06-24T11:34:41.767110
6779.0,2744.0,1050.0,11671.0,10557.0,3871.0,-296.0,0,0,0,NONE,0,2019-06-24T11:34:42.070948
6753.0,2756.0,1080.0,11760.0,10544.0,3947.0,-278.0,0,0,0,NONE,0,2019-06-24T11:34:42.333561
6744.0,2732.0,1114.0,11716.0,10588.0,3939.0,-315.0,0,0,0,NONE,0,2019-06-24T11:34:42.616805
6809.0,2768.0,1155.0,11655.0,10564.0,3902.0,-252.0,0,0,0,NONE,0,2019-06-24T11:34:42.901461
6764.0,2767.0,1100.0,11706.0,10587.0,3940.0,-328.0,0,0,0,NONE,0,2019-06-24T11:34:43.206152
6757.0,2797.0,1102.0,11718.0,10591.0,3937.0,-298.0,0,0,0,NONE,0,2019-06-24T11:34:43.467882
6760.0,2781.0,1045.0,11655.0,10636.0,3960.0,-279.0,0,0,0,NONE,0,2019-06-24T11:34:43.751153
6792.0,2745.0,1075.0,11717.0,10603.0,3982.0,-262.0,0,0,0,NONE,0,2019-06-24T11:34:44.034368
6756.0,2752.0,1132.0,11741.0,10568.0,4024.0,-318.0,0,0,0,NONE,0,2019-06-24T11:34:44.342798
6717.0,2722.0,1082.0,11718.0,10600.0,4007.0,-282.0,0,0,0,NONE,0,2019-06-24T11:34:44.602764
6719.0,2781.0,1063.0,11677.0,10623.0,3992.0,-310.0,0,0,0,NONE,0,2019-06-24T11:34:44.885427
6748.0,2675.0,1102.0,11774.0,10608.0,3986.0,-349.0,0,0,0,NONE,0,2019-06-24T11:34:45.168858
6700.0,2715.0,1026.0,11688.0,10582.0,4028.0,-344.0,0,0,0,NONE,0,2019-06-24T11:34:45.452012
6748.0,2750.0,1002.0,11684.0,10696.0,4021.0,-292.0,0,0,0,NONE,0,2019-06-24T11:34:45.736408
