seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
6891.0,2180.0,1009.0,11775.0,11176.0,4348.0,-306.0,0,0,0,NONE,0,2019-06-24T11:35:20.057688
6854.0,2230.0,1013.0,11789.0,11228.0,4357.0,-319.0,0,0,0,NONE,0,2019-06-24T11:35:20.323440
6929.0,2162.0,1059.0,11758.0,11176.0,4287.0,-311.0,0,0,0,NONE,0,2019-06-24T11:35:20.606677
6897.0,2219.0,1005.0,11788.0,11225.0,4271.0,-315.0,0,0,0,NONE,0,2019-06-24T11:35:20.890028
6931.0,2204.0,1043.0,11778.0,11194.0,4276.0,-290.0,0,0,0,NONE,0,2019-06-24T11:35:21.192555
6895.0,2151.0,1028.0,11843.0,11167.0,4267.0,-285.0,0,0,0,NONE,0,2019-06-24T11:35:21.456337
6883.0,2265.0,1044.0,11846.0,11150.0,4227.0,-320.0,0,0,0,NONE,0,2019-06-24T11:35:21.740962
6886.0,2257.0,1010.0,11815.0,11214.0,4229.0,-281.0,0,0,0,NONE,0,2019-06-24T11:35:22.024147
6910.0,2178.0,1050.0,11780.0,11224.0,4194.0,-263.0,0,0,0,NONE,0,2019-06-24T11:35:22.329022
6857.0,2206.0,1024.0,11780.0,11220.0,4172.0,-305.0,0,0,0,NONE,0,2019-06-24T11:35:22.590691
6877.0,2237.0,1057.0,11785.0,11227.0,4191.0,-261.0,0,0,0,NONE,0,2019-06-24T11:35:22.873948
6864.0,2223.0,980.0,11810.0,11250.0,4135.0,-300.0,0,0,0,NONE,0,2019-06-24T11:35:23.158281
6867.0,2205.0,1063.0,11845.0,11266.0,4122.0,-297.0,0,0,0,NONE,0,2019-06-24T11:35:23.464384
6859.0,2283.0,983.0,11761.0,11246.0,4128.0,-304.0,0,0,0,NONE,0,2019-06-24T11:35:23.725189
6893.0,2225.0,963.0,11739.0,11209.0,4052.0,-311.0,0,0,0,NONE,0,2019-06-24T11:35:24.008203
6836.0,2186.0,973.0,11826.0,11283.0,4159.0,-262.0,0,0,0,NONE,0,2019-06-24T11:35:24.291619
6817.0,2242.0,996.0,11736.0,11267.0,4049.0,-357.0,0,0,0,NONE,0,2019-06-24T11:35:24.575916
6827.0,2229.0,958.0,11801.0,11268.0,4079.0,-301.0,0,0,0,NONE,0,2019-06-24T11:35:24.859249
6892.0,2194.0,962.0,11781.0,11246.0,4053.0,-269.0,0,0,0,NONE,0,2019-06-24T11:35:25.142476
6861.0,2190.0,966.0,11767.0,11257.0,4104.0,-234.0,0,0,0,NONE,0,2019-06-24T11:35:25.425982
