seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
5663.0,3985.0,2342.0,11210.0,9604.0,617.0,350.0,0,0,0,NONE,0,2019-06-24T11:31:50.228628
5703.0,3938.0,2340.0,11190.0,9550.0,616.0,315.0,0,0,0,NONE,0,2019-06-24T11:31:50.513777
5613.0,3959.0,2323.0,11215.0,9513.0,630.0,304.0,0,0,0,NONE,0,2019-06-24T11:31:50.796349
5673.0,3942.0,2298.0,11159.0,9559.0,596.0,384.0,0,0,0,NONE,0,2019-06-24T11:31:51.079675
5716.0,3877.0,2379.0,11218.0,9547.0,609.0,320.0,0,0,0,NONE,0,2019-06-24T11:31:51.362835
5701.0,3931.0,2337.0,11252.0,9555.0,588.0,336.0,0,0,0,NONE,0,2019-06-24T11:31:51.649010
5727.0,3901.0,2334.0,11193.0,9531.0,616.0,332.0,0,0,0,NONE,0,2019-06-24T11:31:51.930658
5677.0,3901.0,2363.0,11227.0,9495.0,601.0,348.0,0,0,0,NONE,0,2019-06-24T11:31:52.213842
5707.0,3908.0,2319.0,11204.0,9516.0,564.0,246.0,0,0,0,NONE,0,2019-06-24T11:31:52.497171
5692.0,3885.0,2352.0,11200.0,9549.0,638.0,306.0,0,0,0,NONE,0,2019-06-24T11:31:52.784399
5695.0,3898.0,2329.0,11135.0,9595.0,649.0,279.0,0,0,0,NONE,0,2019-06-24T11:31:53.064831
5705.0,3834.0,2340.0,11202.0,9534.0,703.0,286.0,0,0,0,NONE,0,2019-06-24T11:31:53.348090
5669.0,3862.0,2306.0,11150.0,9604.0,721.0,307.0,0,0,0,NONE,0,2019-06-24T11:31:53.631582
5750.0,3931.0,2359.0,11207.0,9545.0,705.0,278.0,0,0,0,NONE,0,2019-06-24T11:31:53.919700
5689.0,3903.0,2351.0,11248.0,9544.0,714.0,281.0,0,0,0,NONE,0,2019-06-24T11:31:54.199252
5730.0,3881.0,2331.0,11212.0,9647.0,690.0,318.0,0,0,0,NONE,0,2019-06-24T11:31:54.482514
5683.0,3885.0,2304.0,11167.0,9564.0,725.0,316.0,0,0,0,NONE,0,2019-06-24T11:31:54.765702
5645.0,3925.0,2315.0,11146.0,9548.0,710.0,251.0,0,0,0,NONE,0,2019-06-24T11:31:55.056335
5692.0,3891.0,2367.0,11202.0,9582.0,716.0,298.0,0,0,0,NONE,0,2019-06-24T11:31:55.333460
5708.0,3926.0,2365.0,11188.0,9537.0,746.0,288.0,0,0,0,NONE,0,2019-06-24T11:31:55.616776
