seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
6858.0,2572.0,795.0,11588.0,11360.0,4282.0,-97.0,0,0,0,NONE,0,2019-06-24T11:36:05.400773
6906.0,2565.0,850.0,11647.0,11388.0,4209.0,-95.0,0,0,0,NONE,0,2019-06-24T11:36:05.683953
6923.0,2557.0,837.0,11682.0,11351.0,4192.0,-68.0,0,0,0,NONE,0,2019-06-24T11:36:05.990883
6867.0,2538.0,832.0,11638.0,11265.0,4149.0,-55.0,0,0,0,NONE,0,2019-06-24T11:36:06.251729
6893.0,2599.0,827.0,11624.0,11295.0,4204.0,-82.0,0,0,0,NONE,0,2019-06-24T11:36:06.534944
6900.0,2511.0,857.0,11668.0,11355.0,4242.0,-53.0,0,0,0,NONE,0,2019-06-24T11:36:06.818290
6825.0,2524.0,868.0,11715.0,11286.0,4137.0,-62.0,0,0,0,NONE,0,2019-06-24T11:36:07.101517
6764.0,2555.0,855.0,11630.0,11335.0,4228.0,-46.0,0,0,0,NONE,0,2019-06-24T11:36:07.384712
6908.0,2558.0,884.0,11618.0,11343.0,4205.0,-3.0,0,0,0,NONE,0,2019-06-24T11:36:07.669113
6859.0,2538.0,853.0,11656.0,11348.0,4263.0,-24.0,0,0,0,NONE,0,2019-06-24T11:36:07.952606
6872.0,2586.0,912.0,11606.0,11330.0,4195.0,-73.0,0,0,0,NONE,0,2019-06-24T11:36:08.236024
6828.0,2495.0,926.0,11706.0,11351.0,4177.0,12.0,0,0,0,NONE,0,2019-06-24T11:36:08.518855
6840.0,2495.0,872.0,11641.0,11410.0,4194.0,49.0,0,0,0,NONE,0,2019-06-24T11:36:08.802200
6815.0,2539.0,919.0,11632.0,11308.0,4174.0,-40.0,0,0,0,NONE,0,2019-06-24T11:36:09.087096
6839.0,2478.0,895.0,11683.0,11316.0,4225.0,13.0,0,0,0,NONE,0,2019-06-24T11:36:09.369919
6833.0,2469.0,930.0,11680.0,11353.0,4211.0,8.0,0,0,0,NONE,0,2019-06-24T11:36:09.653009
6775.0,2507.0,943.0,11676.0,11354.0,4259.0,64.0,0,0,0,NONE,0,2019-06-24T11:36:09.936363
6811.0,2504.0,918.0,11637.0,11382.0,4276.0,90.0,0,0,0,NONE,0,2019-06-24T11:36:10.222271
6824.0,2527.0,944.0,11641.0,11354.0,4223.0,95.0,0,0,0,NONE,0,2019-06-24T11:36:10.504220
