seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-12897.0,-573.0,1988.0,3680.0,16073.0,-4518.0,1044.0,0,0,0,NONE,0,2019-06-20T18:57:46.902267
-12898.0,-571.0,2049.0,3637.0,16080.0,-4522.0,1008.0,0,0,0,NONE,0,2019-06-20T18:57:47.186704
-12884.0,-624.0,2020.0,3605.0,16124.0,-4503.0,981.0,0,0,0,NONE,0,2019-06-20T18:57:47.473951
-12876.0,-615.0,2099.0,3619.0,16128.0,-4493.0,1007.0,0,0,0,NONE,0,2019-06-20T18:57:47.754332
-12940.0,-586.0,2068.0,3719.0,16173.0,-4497.0,1000.0,0,0,0,NONE,0,2019-06-20T18:57:48.038803
-12937.0,-625.0,2050.0,3682.0,16097.0,-4458.0,949.0,0,0,0,NONE,0,2019-06-20T18:57:48.322081
-12950.0,-658.0,2056.0,3663.0,16128.0,-4500.0,990.0,0,0,0,NONE,0,2019-06-20T18:57:48.610490
-12843.0,-605.0,2103.0,3653.0,16104.0,-4533.0,970.0,0,0,0,NONE,0,2019-06-20T18:57:48.891125
-12942.0,-596.0,2115.0,3626.0,16090.0,-4486.0,964.0,0,0,0,NONE,0,2019-06-20T18:57:49.174281
-12919.0,-614.0,2148.0,3643.0,16108.0,-4464.0,991.0,0,0,0,NONE,0,2019-06-20T18:57:49.458876
-12963.0,-588.0,2083.0,3609.0,16092.0,-4494.0,896.0,0,0,0,NONE,0,2019-06-20T18:57:49.747025
-12929.0,-599.0,2113.0,3687.0,16062.0,-4485.0,902.0,0,0,0,NONE,0,2019-06-20T18:57:50.026581
-12947.0,-587.0,2151.0,3664.0,16037.0,-4485.0,939.0,0,0,0,NONE,0,2019-06-20T18:57:50.311159
-13014.0,-637.0,2127.0,3553.0,16058.0,-4530.0,969.0,0,0,0,NONE,0,2019-06-20T18:57:50.594382
-12951.0,-644.0,2083.0,3664.0,16093.0,-4495.0,910.0,0,0,0,NONE,0,2019-06-20T18:57:50.883589
-12996.0,-609.0,2103.0,3624.0,16000.0,-4476.0,939.0,0,0,0,NONE,0,2019-06-20T18:57:51.163537
-12974.0,-552.0,2080.0,3685.0,16036.0,-4512.0,862.0,0,0,0,NONE,0,2019-06-20T18:57:51.446733
-12998.0,-513.0,2102.0,3629.0,16034.0,-4513.0,846.0,0,0,0,NONE,0,2019-06-20T18:57:51.731362
-12948.0,-636.0,2096.0,3677.0,15993.0,-4468.0,905.0,0,0,0,NONE,0,2019-06-20T18:57:52.021319
-12969.0,-609.0,2191.0,3670.0,16042.0,-4521.0,840.0,0,0,0,NONE,0,2019-06-20T18:57:52.299078
