seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-12725.0,-1407.0,4498.0,2723.0,5242.0,-5327.0,1939.0,0,0,0,NONE,0,2019-06-20T19:01:11.403748
-12729.0,-1423.0,4453.0,2717.0,5228.0,-5411.0,2007.0,0,0,0,NONE,0,2019-06-20T19:01:11.688209
-12831.0,-1407.0,4465.0,2700.0,5162.0,-5308.0,1967.0,0,0,0,NONE,0,2019-06-20T19:01:11.983063
-12654.0,-1449.0,4441.0,2709.0,5112.0,-5370.0,1978.0,0,0,0,NONE,0,2019-06-20T19:01:12.255929
-12761.0,-1458.0,4465.0,2724.0,5086.0,-5333.0,2067.0,0,0,0,NONE,0,2019-06-20T19:01:12.539097
-12755.0,-1425.0,4464.0,2790.0,5052.0,-5311.0,2057.0,0,0,0,NONE,0,2019-06-20T19:01:12.823849
-12709.0,-1522.0,4533.0,2724.0,5044.0,-5327.0,2024.0,0,0,0,NONE,0,2019-06-20T19:01:13.119614
-12688.0,-1466.0,4492.0,2722.0,5001.0,-5259.0,2026.0,0,0,0,NONE,0,2019-06-20T19:01:13.391732
-12648.0,-1475.0,4488.0,2723.0,4969.0,-5290.0,2073.0,0,0,0,NONE,0,2019-06-20T19:01:13.676167
-12706.0,-1480.0,4537.0,2798.0,4921.0,-5301.0,2086.0,0,0,0,NONE,0,2019-06-20T19:01:13.959687
-12699.0,-1508.0,4471.0,2752.0,4899.0,-5265.0,2048.0,0,0,0,NONE,0,2019-06-20T19:01:14.256295
-12632.0,-1525.0,4504.0,2732.0,4828.0,-5301.0,2100.0,0,0,0,NONE,0,2019-06-20T19:01:14.528738
-12631.0,-1484.0,4514.0,2784.0,4833.0,-5234.0,2131.0,0,0,0,NONE,0,2019-06-20T19:01:14.812035
-12631.0,-1527.0,4492.0,2712.0,4826.0,-5303.0,2115.0,0,0,0,NONE,0,2019-06-20T19:01:15.096464
-12647.0,-1541.0,4545.0,2672.0,4753.0,-5293.0,2079.0,0,0,0,NONE,0,2019-06-20T19:01:15.392728
-12598.0,-1561.0,4482.0,2626.0,4719.0,-5260.0,2183.0,0,0,0,NONE,0,2019-06-20T19:01:15.664195
-12649.0,-1514.0,4458.0,2712.0,4725.0,-5324.0,2197.0,0,0,0,NONE,0,2019-06-20T19:01:15.948677
-12613.0,-1491.0,4498.0,2654.0,4640.0,-5256.0,2177.0,0,0,0,NONE,0,2019-06-20T19:01:16.233225
-12577.0,-1533.0,4424.0,2643.0,4596.0,-5330.0,2195.0,0,0,0,NONE,0,2019-06-20T19:01:16.529226
-12584.0,-1567.0,4468.0,2624.0,4527.0,-5305.0,2139.0,0,0,0,NONE,0,2019-06-20T19:01:16.800947
