seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
5068.0,4539.0,3756.0,10867.0,7576.0,-1985.0,-244.0,0,0,0,NONE,0,2019-06-24T11:26:54.087420
5063.0,4524.0,3696.0,10906.0,7532.0,-1950.0,-236.0,0,0,0,NONE,0,2019-06-24T11:26:54.371949
5098.0,4578.0,3692.0,10838.0,7565.0,-1994.0,-287.0,0,0,0,NONE,0,2019-06-24T11:26:54.662313
5061.0,4523.0,3682.0,10829.0,7598.0,-1951.0,-271.0,0,0,0,NONE,0,2019-06-24T11:26:54.938592
5075.0,4520.0,3683.0,10878.0,7584.0,-1943.0,-244.0,0,0,0,NONE,0,2019-06-24T11:26:55.222926
5107.0,4530.0,3685.0,10876.0,7506.0,-1923.0,-257.0,0,0,0,NONE,0,2019-06-24T11:26:55.506161
5096.0,4554.0,3637.0,10811.0,7600.0,-1839.0,-277.0,0,0,0,NONE,0,2019-06-24T11:26:55.797594
5118.0,4514.0,3670.0,10900.0,7640.0,-1912.0,-265.0,0,0,0,NONE,0,2019-06-24T11:26:56.073867
5075.0,4525.0,3692.0,10799.0,7561.0,-1890.0,-278.0,0,0,0,NONE,0,2019-06-24T11:26:56.357126
5066.0,4532.0,3665.0,10824.0,7520.0,-1870.0,-282.0,0,0,0,NONE,0,2019-06-24T11:26:56.640453
5053.0,4457.0,3702.0,10819.0,7598.0,-1885.0,-276.0,0,0,0,NONE,0,2019-06-24T11:26:56.932832
5103.0,4500.0,3664.0,10832.0,7585.0,-1821.0,-255.0,0,0,0,NONE,0,2019-06-24T11:26:57.208138
5066.0,4513.0,3694.0,10857.0,7570.0,-1803.0,-242.0,0,0,0,NONE,0,2019-06-24T11:26:57.491439
5054.0,4401.0,3702.0,10843.0,7602.0,-1795.0,-313.0,0,0,0,NONE,0,2019-06-24T11:26:57.774641
5108.0,4425.0,3703.0,10874.0,7593.0,-1827.0,-305.0,0,0,0,NONE,0,2019-06-24T11:26:58.069378
5004.0,4411.0,3673.0,10860.0,7554.0,-1761.0,-267.0,0,0,0,NONE,0,2019-06-24T11:26:58.342442
5117.0,4484.0,3739.0,10853.0,7632.0,-1724.0,-290.0,0,0,0,NONE,0,2019-06-24T11:26:58.625690
5035.0,4466.0,3660.0,10860.0,7560.0,-1803.0,-337.0,0,0,0,NONE,0,2019-06-24T11:26:58.910204
5058.0,4381.0,3721.0,10816.0,7591.0,-1840.0,-271.0,0,0,0,NONE,0,2019-06-24T11:26:59.204757
5083.0,4442.0,3671.0,10848.0,7612.0,-1795.0,-273.0,0,0,0,NONE,0,2019-06-24T11:26:59.476655
