seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
4232.0,3998.0,5045.0,10119.0,7421.0,-1884.0,-1076.0,0,0,0,NONE,0,2019-06-24T11:25:34.683019
4292.0,3964.0,4988.0,10124.0,7432.0,-1898.0,-1112.0,0,0,0,NONE,0,2019-06-24T11:25:34.972151
4206.0,3929.0,4957.0,10217.0,7449.0,-1898.0,-1129.0,0,0,0,NONE,0,2019-06-24T11:25:35.249450
4264.0,3947.0,4954.0,10158.0,7433.0,-1859.0,-1073.0,0,0,0,NONE,0,2019-06-24T11:25:35.533905
4255.0,3975.0,4925.0,10169.0,7424.0,-1885.0,-1099.0,0,0,0,NONE,0,2019-06-24T11:25:35.817178
4244.0,4025.0,4946.0,10163.0,7421.0,-1926.0,-1109.0,0,0,0,NONE,0,2019-06-24T11:25:36.107373
4235.0,3988.0,4972.0,10163.0,7487.0,-1868.0,-1052.0,0,0,0,NONE,0,2019-06-24T11:25:36.383641
4346.0,3991.0,4844.0,10182.0,7418.0,-1857.0,-1057.0,0,0,0,NONE,0,2019-06-24T11:25:36.668122
4335.0,4064.0,4975.0,10124.0,7407.0,-1940.0,-1093.0,0,0,0,NONE,0,2019-06-24T11:25:36.951465
4334.0,4019.0,4866.0,10175.0,7415.0,-1931.0,-1068.0,0,0,0,NONE,0,2019-06-24T11:25:37.242615
4265.0,4047.0,4839.0,10158.0,7401.0,-1944.0,-1060.0,0,0,0,NONE,0,2019-06-24T11:25:37.517824
4289.0,4043.0,4861.0,10118.0,7447.0,-1954.0,-1061.0,0,0,0,NONE,0,2019-06-24T11:25:37.802366
4331.0,4003.0,4848.0,10153.0,7420.0,-1978.0,-1032.0,0,0,0,NONE,0,2019-06-24T11:25:38.085603
4293.0,4086.0,4847.0,10158.0,7424.0,-1996.0,-1002.0,0,0,0,NONE,0,2019-06-24T11:25:38.377885
4346.0,4069.0,4839.0,10145.0,7430.0,-1977.0,-1036.0,0,0,0,NONE,0,2019-06-24T11:25:38.652211
4373.0,4060.0,4815.0,10170.0,7400.0,-1918.0,-1006.0,0,0,0,NONE,0,2019-06-24T11:25:38.936650
4266.0,4067.0,4756.0,10167.0,7490.0,-1979.0,-1013.0,0,0,0,NONE,0,2019-06-24T11:25:39.219992
4277.0,4036.0,4814.0,10159.0,7399.0,-1984.0,-1039.0,0,0,0,NONE,0,2019-06-24T11:25:39.513265
4327.0,4065.0,4876.0,10192.0,7438.0,-1997.0,-923.0,0,0,0,NONE,0,2019-06-24T11:25:39.787562
4293.0,4102.0,4770.0,10223.0,7452.0,-1991.0,-950.0,0,0,0,NONE,0,2019-06-24T11:25:40.070814
