seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-13633.0,-516.0,2828.0,4147.0,16630.0,-4142.0,-1310.0,0,0,0,NONE,0,2019-06-20T18:59:34.842335
-13663.0,-532.0,2829.0,4057.0,16662.0,-4206.0,-1245.0,0,0,0,NONE,0,2019-06-20T18:59:35.113032
-13606.0,-546.0,2837.0,4088.0,16606.0,-4168.0,-1223.0,0,0,0,NONE,0,2019-06-20T18:59:35.397497
-13641.0,-499.0,2850.0,4130.0,16607.0,-4174.0,-1313.0,0,0,0,NONE,0,2019-06-20T18:59:35.680828
-13581.0,-512.0,2806.0,4148.0,16621.0,-4165.0,-1278.0,0,0,0,NONE,0,2019-06-20T18:59:35.978905
-13649.0,-513.0,2802.0,4076.0,16658.0,-4238.0,-1246.0,0,0,0,NONE,0,2019-06-20T18:59:36.248534
-13594.0,-542.0,2874.0,4112.0,16644.0,-4185.0,-1228.0,0,0,0,NONE,0,2019-06-20T18:59:36.533103
-13593.0,-559.0,2895.0,4126.0,16637.0,-4207.0,-1232.0,0,0,0,NONE,0,2019-06-20T18:59:36.817564
-13660.0,-546.0,2856.0,4146.0,16674.0,-4241.0,-1200.0,0,0,0,NONE,0,2019-06-20T18:59:37.115550
-13586.0,-462.0,2837.0,4062.0,16623.0,-4228.0,-1233.0,0,0,0,NONE,0,2019-06-20T18:59:37.385280
-13626.0,-573.0,2853.0,4154.0,16630.0,-4266.0,-1215.0,0,0,0,NONE,0,2019-06-20T18:59:37.669857
-13622.0,-557.0,2889.0,4093.0,16693.0,-4299.0,-1240.0,0,0,0,NONE,0,2019-06-20T18:59:37.953147
-13621.0,-509.0,2917.0,4071.0,16631.0,-4312.0,-1179.0,0,0,0,NONE,0,2019-06-20T18:59:38.253305
-13598.0,-561.0,2875.0,4115.0,16613.0,-4408.0,-1213.0,0,0,0,NONE,0,2019-06-20T18:59:38.520904
-13626.0,-487.0,2873.0,4084.0,16675.0,-4369.0,-1235.0,0,0,0,NONE,0,2019-06-20T18:59:38.805323
-13601.0,-490.0,2915.0,4128.0,16658.0,-4384.0,-1250.0,0,0,0,NONE,0,2019-06-20T18:59:39.089922
-13628.0,-454.0,2908.0,4120.0,16679.0,-4452.0,-1267.0,0,0,0,NONE,0,2019-06-20T18:59:39.389818
-13635.0,-562.0,2893.0,4078.0,16633.0,-4478.0,-1224.0,0,0,0,NONE,0,2019-06-20T18:59:39.657695
-13598.0,-491.0,2943.0,4113.0,16647.0,-4445.0,-1221.0,0,0,0,NONE,0,2019-06-20T18:59:39.940889
-13666.0,-528.0,2943.0,4049.0,16653.0,-4426.0,-1165.0,0,0,0,NONE,0,2019-06-20T18:59:40.225441
