seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
3102.0,2073.0,6555.0,9033.0,7079.0,-1512.0,-384.0,0,0,0,NONE,0,2019-06-24T11:24:20.954544
3128.0,2163.0,6543.0,9014.0,7038.0,-1567.0,-342.0,0,0,0,NONE,0,2019-06-24T11:24:21.231757
3091.0,2128.0,6548.0,9005.0,7044.0,-1547.0,-370.0,0,0,0,NONE,0,2019-06-24T11:24:21.516215
3093.0,2137.0,6542.0,9066.0,7008.0,-1544.0,-350.0,0,0,0,NONE,0,2019-06-24T11:24:21.799864
3174.0,2133.0,6533.0,9053.0,7033.0,-1607.0,-380.0,0,0,0,NONE,0,2019-06-24T11:24:22.091146
3171.0,2146.0,6599.0,9046.0,7096.0,-1586.0,-314.0,0,0,0,NONE,0,2019-06-24T11:24:22.365943
3150.0,2119.0,6501.0,9009.0,7068.0,-1623.0,-327.0,0,0,0,NONE,0,2019-06-24T11:24:22.650521
3133.0,2180.0,6568.0,8989.0,7062.0,-1658.0,-300.0,0,0,0,NONE,0,2019-06-24T11:24:22.933906
3140.0,2253.0,6494.0,9004.0,7076.0,-1638.0,-254.0,0,0,0,NONE,0,2019-06-24T11:24:23.226562
3146.0,2201.0,6563.0,9017.0,7065.0,-1653.0,-278.0,0,0,0,NONE,0,2019-06-24T11:24:23.500336
3168.0,2233.0,6510.0,9011.0,7080.0,-1708.0,-311.0,0,0,0,NONE,0,2019-06-24T11:24:23.784792
3088.0,2248.0,6563.0,9006.0,7071.0,-1695.0,-291.0,0,0,0,NONE,0,2019-06-24T11:24:24.068194
3159.0,2251.0,6575.0,9096.0,7064.0,-1702.0,-329.0,0,0,0,NONE,0,2019-06-24T11:24:24.361729
3129.0,2227.0,6550.0,9058.0,7067.0,-1719.0,-266.0,0,0,0,NONE,0,2019-06-24T11:24:24.634644
3144.0,2278.0,6501.0,9071.0,7075.0,-1821.0,-315.0,0,0,0,NONE,0,2019-06-24T11:24:24.919179
3119.0,2364.0,6524.0,9085.0,7080.0,-1724.0,-272.0,0,0,0,NONE,0,2019-06-24T11:24:25.202514
3093.0,2300.0,6547.0,9059.0,7104.0,-1706.0,-258.0,0,0,0,NONE,0,2019-06-24T11:24:25.497057
3167.0,2329.0,6544.0,9046.0,7023.0,-1736.0,-240.0,0,0,0,NONE,0,2019-06-24T11:24:25.768995
3227.0,2347.0,6534.0,9068.0,7094.0,-1746.0,-255.0,0,0,0,NONE,0,2019-06-24T11:24:26.053613
3164.0,2294.0,6506.0,9110.0,7112.0,-1723.0,-220.0,0,0,0,NONE,0,2019-06-24T11:24:26.337002
