seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
6618.0,2851.0,1349.0,11642.0,10370.0,3596.0,-207.0,0,0,0,NONE,0,2019-06-24T11:34:29.007977
6655.0,2829.0,1309.0,11656.0,10352.0,3513.0,-259.0,0,0,0,NONE,0,2019-06-24T11:34:29.291424
6665.0,2830.0,1273.0,11661.0,10396.0,3634.0,-185.0,0,0,0,NONE,0,2019-06-24T11:34:29.581546
6633.0,2886.0,1334.0,11664.0,10368.0,3616.0,-224.0,0,0,0,NONE,0,2019-06-24T11:34:29.859021
6586.0,2823.0,1265.0,11647.0,10348.0,3617.0,-237.0,0,0,0,NONE,0,2019-06-24T11:34:30.142334
6665.0,2794.0,1296.0,11687.0,10352.0,3659.0,-198.0,0,0,0,NONE,0,2019-06-24T11:34:30.425583
6598.0,2819.0,1307.0,11653.0,10357.0,3622.0,-194.0,0,0,0,NONE,0,2019-06-24T11:34:30.716756
6672.0,2778.0,1350.0,11701.0,10398.0,3636.0,-196.0,0,0,0,NONE,0,2019-06-24T11:34:30.992110
6667.0,2752.0,1304.0,11615.0,10450.0,3721.0,-214.0,0,0,0,NONE,0,2019-06-24T11:34:31.276605
6663.0,2718.0,1368.0,11647.0,10426.0,3639.0,-194.0,0,0,0,NONE,0,2019-06-24T11:34:31.559850
6716.0,2809.0,1289.0,11671.0,10428.0,3584.0,-196.0,0,0,0,NONE,0,2019-06-24T11:34:31.852116
6652.0,2759.0,1282.0,11647.0,10388.0,3660.0,-133.0,0,0,0,NONE,0,2019-06-24T11:34:32.126386
6645.0,2777.0,1302.0,11690.0,10433.0,3647.0,-135.0,0,0,0,NONE,0,2019-06-24T11:34:32.411054
6651.0,2810.0,1303.0,11705.0,10456.0,3689.0,-225.0,0,0,0,NONE,0,2019-06-24T11:34:32.694262
6666.0,2677.0,1297.0,11750.0,10385.0,3639.0,-183.0,0,0,0,NONE,0,2019-06-24T11:34:32.987487
6644.0,2769.0,1323.0,11694.0,10371.0,3682.0,-230.0,0,0,0,NONE,0,2019-06-24T11:34:33.260738
6652.0,2722.0,1307.0,11692.0,10451.0,3619.0,-234.0,0,0,0,NONE,0,2019-06-24T11:34:33.543927
6663.0,2730.0,1284.0,11685.0,10444.0,3693.0,-188.0,0,0,0,NONE,0,2019-06-24T11:34:33.828411
6658.0,2788.0,1327.0,11712.0,10477.0,3705.0,-218.0,0,0,0,NONE,0,2019-06-24T11:34:34.122713
6630.0,2750.0,1301.0,11733.0,10449.0,3703.0,-215.0,0,0,0,NONE,0,2019-06-24T11:34:34.394944
