seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
4747.0,4489.0,4149.0,10819.0,8809.0,-2028.0,720.0,0,0,0,NONE,0,2019-06-24T11:29:17.116857
4760.0,4519.0,4202.0,10813.0,8805.0,-1995.0,691.0,0,0,0,NONE,0,2019-06-24T11:29:17.390995
4733.0,4500.0,4153.0,10813.0,8691.0,-1986.0,699.0,0,0,0,NONE,0,2019-06-24T11:29:17.675423
4748.0,4527.0,4160.0,10848.0,8780.0,-2007.0,690.0,0,0,0,NONE,0,2019-06-24T11:29:17.958699
4731.0,4533.0,4162.0,10806.0,8717.0,-2021.0,690.0,0,0,0,NONE,0,2019-06-24T11:29:18.252111
4716.0,4541.0,4134.0,10839.0,8788.0,-1951.0,711.0,0,0,0,NONE,0,2019-06-24T11:29:18.526422
4694.0,4542.0,4159.0,10846.0,8735.0,-1900.0,666.0,0,0,0,NONE,0,2019-06-24T11:29:18.809727
4778.0,4491.0,4163.0,10795.0,8712.0,-1939.0,654.0,0,0,0,NONE,0,2019-06-24T11:29:19.092920
4756.0,4522.0,4123.0,10789.0,8740.0,-1896.0,679.0,0,0,0,NONE,0,2019-06-24T11:29:19.387476
4777.0,4462.0,4145.0,10808.0,8737.0,-1915.0,649.0,0,0,0,NONE,0,2019-06-24T11:29:19.660763
4781.0,4520.0,4151.0,10821.0,8723.0,-1922.0,612.0,0,0,0,NONE,0,2019-06-24T11:29:19.943905
4728.0,4504.0,4148.0,10878.0,8764.0,-1901.0,645.0,0,0,0,NONE,0,2019-06-24T11:29:20.227170
4744.0,4485.0,4125.0,10796.0,8773.0,-1857.0,635.0,0,0,0,NONE,0,2019-06-24T11:29:20.522872
4715.0,4460.0,4127.0,10807.0,8726.0,-1853.0,639.0,0,0,0,NONE,0,2019-06-24T11:29:20.794895
4729.0,4477.0,4213.0,10823.0,8691.0,-1808.0,706.0,0,0,0,NONE,0,2019-06-24T11:29:21.078142
4716.0,4467.0,4194.0,10837.0,8754.0,-1900.0,637.0,0,0,0,NONE,0,2019-06-24T11:29:21.361582
4746.0,4477.0,4185.0,10846.0,8747.0,-1801.0,652.0,0,0,0,NONE,0,2019-06-24T11:29:21.658108
4709.0,4439.0,4225.0,10860.0,8782.0,-1797.0,626.0,0,0,0,NONE,0,2019-06-24T11:29:21.929450
4683.0,4429.0,4173.0,10826.0,8766.0,-1850.0,657.0,0,0,0,NONE,0,2019-06-24T11:29:22.212828
4702.0,4460.0,4210.0,10823.0,8708.0,-1782.0,632.0,0,0,0,NONE,0,2019-06-24T11:29:22.496016
