seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-13341.0,-589.0,2443.0,3917.0,15970.0,-4245.0,213.0,0,0,0,NONE,0,2019-06-20T18:58:20.985256
-13345.0,-558.0,2469.0,3880.0,15989.0,-4238.0,155.0,0,0,0,NONE,0,2019-06-20T18:58:21.268527
-13327.0,-526.0,2464.0,3881.0,15994.0,-4333.0,131.0,0,0,0,NONE,0,2019-06-20T18:58:21.575147
-13375.0,-560.0,2504.0,3877.0,15999.0,-4273.0,134.0,0,0,0,NONE,0,2019-06-20T18:58:21.836214
-13328.0,-526.0,2421.0,3869.0,15988.0,-4274.0,109.0,0,0,0,NONE,0,2019-06-20T18:58:22.120775
-13325.0,-596.0,2447.0,3859.0,15988.0,-4269.0,117.0,0,0,0,NONE,0,2019-06-20T18:58:22.405206
-13363.0,-566.0,2456.0,3913.0,16004.0,-4285.0,112.0,0,0,0,NONE,0,2019-06-20T18:58:22.711571
-13354.0,-545.0,2469.0,3888.0,16005.0,-4325.0,86.0,0,0,0,NONE,0,2019-06-20T18:58:22.972889
-13373.0,-539.0,2415.0,3869.0,15975.0,-4258.0,73.0,0,0,0,NONE,0,2019-06-20T18:58:23.256069
-13386.0,-540.0,2445.0,3852.0,16016.0,-4293.0,146.0,0,0,0,NONE,0,2019-06-20T18:58:23.540824
-13405.0,-617.0,2434.0,3880.0,-4275.0,15.0,0,0,0,NONE,0,2019-06-20T18:58:23.824595
-13410.0,-537.0,2450.0,3940.0,15988.0,-4209.0,96.0,0,0,0,NONE,0,2019-06-20T18:58:24.108362
-13431.0,-610.0,2472.0,3856.0,16041.0,-4256.0,31.0,0,0,0,NONE,0,2019-06-20T18:58:24.392856
-13392.0,-540.0,2488.0,3978.0,15966.0,-4256.0,52.0,0,0,0,NONE,0,2019-06-20T18:58:24.677521
-13417.0,-547.0,2454.0,3899.0,16004.0,-4275.0,29.0,0,0,0,NONE,0,2019-06-20T18:58:24.984574
-13422.0,-557.0,2469.0,3923.0,15982.0,-4275.0,36.0,0,0,0,NONE,0,2019-06-20T18:58:25.245036
-13405.0,-570.0,2462.0,3946.0,15968.0,-4243.0,-7.0,0,0,0,NONE,0,2019-06-20T18:58:25.528280
-13400.0,-542.0,2449.0,3922.0,15938.0,-4282.0,0.0,0,0,0,NONE,0,2019-06-20T18:58:25.812871
-13426.0,-486.0,2455.0,3943.0,15994.0,-4248.0,12.0,0,0,0,NONE,0,2019-06-20T18:58:26.097404
-13386.0,-566.0,2414.0,3843.0,15971.0,-4292.0,6.0,0,0,0,NONE,0,2019-06-20T18:58:26.380574
