seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
32434.0,34371.0,23104.0,-1471.0,30727.0,14105.0,4704.0,68.0,169.0,20,F,1,2019-06-20T11:43:34.169023
32254.0,34265.0,23093.0,-1679.0,30693.0,14095.0,4582.0,68.0,169.0,20,F,1,2019-06-20T11:43:34.736930
32576.0,34380.0,23167.0,-1525.0,30886.0,14257.0,4562.0,68.0,169.0,20,F,1,2019-06-20T11:43:35.304643
32618.0,34338.0,23186.0,-1577.0,30917.0,14076.0,4586.0,68.0,169.0,20,F,1,2019-06-20T11:43:35.872317
32590.0,34539.0,23113.0,-1563.0,30882.0,14013.0,4566.0,68.0,169.0,20,F,1,2019-06-20T11:43:36.440146
32658.0,34900.0,22798.0,-1497.0,30625.0,13439.0,4748.0,68.0,169.0,20,F,1,2019-06-20T11:43:37.008051
32142.0,34486.0,22817.0,-1497.0,30818.0,13469.0,4496.0,68.0,169.0,20,F,1,2019-06-20T11:43:37.575808
32052.0,34364.0,22821.0,-1509.0,30833.0,13593.0,4568.0,68.0,169.0,20,F,1,2019-06-20T11:43:38.143541
32103.0,34453.0,22819.0,-1597.0,30866.0,13423.0,4535.0,68.0,169.0,20,F,1,2019-06-20T11:43:38.711352
32392.0,34438.0,22912.0,-1552.0,30601.0,13165.0,4522.0,68.0,169.0,20,F,1,2019-06-20T11:43:39.279134
32346.0,34656.0,22844.0,-1549.0,30798.0,13267.0,4582.0,68.0,169.0,20,F,1,2019-06-20T11:43:39.846833
32231.0,34633.0,22839.0,-1527.0,30840.0,13490.0,4511.0,68.0,169.0,20,F,1,2019-06-20T11:43:40.414385
32087.0,34763.0,22732.0,-1704.0,30610.0,13443.0,4373.0,68.0,169.0,20,F,1,2019-06-20T11:43:40.982502
31781.0,34453.0,22700.0,-2009.0,30517.0,13291.0,4209.0,68.0,169.0,20,F,1,2019-06-20T11:43:41.550228
28002.0,32963.0,22726.0,-1710.0,30557.0,13872.0,3359.0,68.0,169.0,20,F,1,2019-06-20T11:43:42.117962
32302.0,32792.0,22323.0,-1541.0,30535.0,13959.0,4144.0,68.0,169.0,20,F,1,2019-06-20T11:43:42.685818
33465.0,34811.0,22421.0,-1466.0,30170.0,13475.0,4812.0,68.0,169.0,20,F,1,2019-06-20T11:43:43.253412
32329.0,34169.0,22595.0,-1583.0,31623.0,14056.0,4467.0,68.0,169.0,20,F,1,2019-06-20T11:43:43.821322
31689.0,34136.0,22576.0,-1426.0,32174.0,14001.0,4342.0,68.0,169.0,20,F,1,2019-06-20T11:43:44.389091
31741.0,34218.0,22579.0,-1436.0,31948.0,13765.0,4295.0,68.0,169.0,20,F,1,2019-06-20T11:43:44.956945
