seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
22139.0,30750.0,20805.0,15005.0,18708.0,13536.0,3964.0,71.0,169.0,24,M,1,2019-06-17T15:33:57.527858
22151.0,30629.0,20789.0,14995.0,18520.0,13839.0,3972.0,71.0,169.0,24,M,1,2019-06-17T15:33:58.085309
22209.0,30612.0,20869.0,15023.0,18421.0,13815.0,3991.0,71.0,169.0,24,M,1,2019-06-17T15:33:58.663609
22327.0,30650.0,20824.0,15064.0,17969.0,13909.0,4041.0,71.0,169.0,24,M,1,2019-06-17T15:33:59.220641
22448.0,30652.0,20790.0,15112.0,17950.0,13690.0,4007.0,71.0,169.0,24,M,1,2019-06-17T15:33:59.799222
22648.0,30596.0,20860.0,15330.0,17846.0,13696.0,4027.0,71.0,169.0,24,M,1,2019-06-17T15:34:00.355693
22721.0,30542.0,20810.0,15356.0,17252.0,13525.0,4079.0,71.0,169.0,24,M,1,2019-06-17T15:34:00.934883
22734.0,30698.0,20933.0,15619.0,16841.0,13455.0,4017.0,71.0,169.0,24,M,1,2019-06-17T15:34:01.490716
22620.0,30936.0,20874.0,15543.0,16262.0,13460.0,4037.0,71.0,169.0,24,M,1,2019-06-17T15:34:02.070016
22583.0,30976.0,20911.0,15260.0,15920.0,13463.0,4059.0,71.0,169.0,24,M,1,2019-06-17T15:34:02.625660
22663.0,31036.0,20886.0,15141.0,15434.0,13393.0,4050.0,71.0,169.0,24,M,1,2019-06-17T15:34:03.205945
22628.0,31044.0,20875.0,15243.0,15188.0,13578.0,4050.0,71.0,169.0,24,M,1,2019-06-17T15:34:03.760851
22675.0,30970.0,20791.0,15200.0,15133.0,13587.0,4131.0,71.0,169.0,24,M,1,2019-06-17T15:34:04.341626
22882.0,30770.0,20720.0,15119.0,15016.0,13663.0,4034.0,71.0,169.0,24,M,1,2019-06-17T15:34:04.895626
22948.0,30591.0,20623.0,15057.0,15082.0,13732.0,4117.0,71.0,169.0,24,M,1,2019-06-17T15:34:05.477283
22945.0,30678.0,20796.0,15032.0,14958.0,13805.0,4069.0,71.0,169.0,24,M,1,2019-06-17T15:34:06.030661
22968.0,30695.0,20695.0,15011.0,14805.0,13653.0,4103.0,71.0,169.0,24,M,1,2019-06-17T15:34:06.612998
22924.0,30685.0,20674.0,14917.0,14621.0,13587.0,4092.0,71.0,169.0,24,M,1,2019-06-17T15:34:07.165473
22903.0,30723.0,20597.0,14849.0,14377.0,13563.0,4133.0,71.0,169.0,24,M,1,2019-06-17T15:34:07.748600
22984.0,30858.0,20606.0,14959.0,14053.0,13432.0,4149.0,71.0,169.0,24,M,1,2019-06-17T15:34:08.300613
