seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
19179.0,43628.0,29731.0,6803.0,27071.0,9888.0,-6603.0,49.0,157.0,19,F,1,2019-06-18T17:16:35.412115
19461.0,43989.0,29739.0,6788.0,27086.0,9777.0,-6563.0,49.0,157.0,19,F,1,2019-06-18T17:16:35.931262
19577.0,44351.0,29701.0,6785.0,27088.0,9747.0,-6617.0,49.0,157.0,19,F,1,2019-06-18T17:16:36.499226
19659.0,44408.0,29636.0,6783.0,27006.0,9784.0,-6593.0,49.0,157.0,19,F,1,2019-06-18T17:16:37.067169
19499.0,44415.0,29788.0,6718.0,27312.0,9581.0,-6639.0,49.0,157.0,19,F,1,2019-06-18T17:16:37.635244
19445.0,43841.0,29842.0,6752.0,27365.0,9778.0,-6641.0,49.0,157.0,19,F,1,2019-06-18T17:16:38.203094
19631.0,44198.0,29829.0,6736.0,26754.0,9552.0,-6586.0,49.0,157.0,19,F,1,2019-06-18T17:16:38.770772
19647.0,44231.0,29871.0,6719.0,27570.0,9389.0,-6615.0,49.0,157.0,19,F,1,2019-06-18T17:16:39.339005
19404.0,44495.0,29971.0,6708.0,28336.0,9003.0,-6585.0,49.0,157.0,19,F,1,2019-06-18T17:16:39.906976
19153.0,44425.0,30028.0,6734.0,28650.0,9258.0,-6604.0,49.0,157.0,19,F,1,2019-06-18T17:16:40.474946
19442.0,44518.0,29968.0,6772.0,28654.0,9495.0,-6613.0,49.0,157.0,19,F,1,2019-06-18T17:16:41.042807
19683.0,45129.0,29898.0,6740.0,28428.0,9174.0,-6647.0,49.0,157.0,19,F,1,2019-06-18T17:16:41.610845
19727.0,45586.0,29901.0,6696.0,28369.0,9424.0,-6630.0,49.0,157.0,19,F,1,2019-06-18T17:16:42.178834
19711.0,45627.0,29942.0,6717.0,28602.0,9183.0,-6621.0,49.0,157.0,19,F,1,2019-06-18T17:16:42.746741
19658.0,45263.0,30047.0,6697.0,28858.0,9463.0,-6622.0,49.0,157.0,19,F,1,2019-06-18T17:16:43.314822
19953.0,45333.0,30057.0,6781.0,28567.0,9485.0,-6620.0,49.0,157.0,19,F,1,2019-06-18T17:16:43.883268
19941.0,45447.0,29971.0,6787.0,28126.0,9280.0,-6646.0,49.0,157.0,19,F,1,2019-06-18T17:16:44.450790
19978.0,45562.0,29995.0,6720.0,28497.0,9268.0,-6614.0,49.0,157.0,19,F,1,2019-06-18T17:16:45.018741
19869.0,45657.0,30113.0,6771.0,28463.0,8836.0,-6516.0,49.0,157.0,19,F,1,2019-06-18T17:16:45.586763
20003.0,45413.0,30112.0,6838.0,28061.0,9226.0,-6557.0,49.0,157.0,19,F,1,2019-06-18T17:16:46.154772
