seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
46957.0,30937.0,6428.0,3704.0,5166.0,-5830.0,-739.0,87.0,175.0,26,M,1,2019-06-19T14:54:54.269232
47508.0,31260.0,6435.0,3724.0,5073.0,-5828.0,-741.0,87.0,175.0,26,M,1,2019-06-19T14:54:54.811992
48414.0,31622.0,6371.0,3656.0,5043.0,-5786.0,-694.0,87.0,175.0,26,M,1,2019-06-19T14:54:55.405302
48737.0,31929.0,6285.0,3680.0,4952.0,-5772.0,-724.0,87.0,175.0,26,M,1,2019-06-19T14:54:55.947654
49148.0,31928.0,6242.0,3607.0,4948.0,-5781.0,-708.0,87.0,175.0,26,M,1,2019-06-19T14:54:56.541466
47499.0,31405.0,6401.0,3595.0,5052.0,-5716.0,-662.0,87.0,175.0,26,M,1,2019-06-19T14:54:57.082548
46893.0,30940.0,6560.0,3601.0,5385.0,-5797.0,-703.0,87.0,175.0,26,M,1,2019-06-19T14:54:57.677574
47958.0,31751.0,6580.0,3548.0,5239.0,-5799.0,-629.0,87.0,175.0,26,M,1,2019-06-19T14:54:58.218441
49396.0,31972.0,6504.0,3622.0,5005.0,-5789.0,-666.0,87.0,175.0,26,M,1,2019-06-19T14:54:58.813707
49963.0,32162.0,6478.0,3583.0,5123.0,-5638.0,-656.0,87.0,175.0,26,M,1,2019-06-19T14:54:59.354409
48069.0,31653.0,6588.0,3606.0,5054.0,-5784.0,-648.0,87.0,175.0,26,M,1,2019-06-19T14:54:59.949765
46093.0,30618.0,6676.0,3598.0,5143.0,-6051.0,-579.0,87.0,175.0,26,M,1,2019-06-19T14:55:00.489360
48332.0,31466.0,6637.0,3616.0,5385.0,-5895.0,-604.0,87.0,175.0,26,M,1,2019-06-19T14:55:01.085363
49508.0,32107.0,6495.0,3519.0,5440.0,-5835.0,-562.0,87.0,175.0,26,M,1,2019-06-19T14:55:01.625475
49007.0,32630.0,6406.0,3552.0,5685.0,-5601.0,-555.0,87.0,175.0,26,M,1,2019-06-19T14:55:02.221798
46403.0,31343.0,6401.0,3572.0,5630.0,-5948.0,-598.0,87.0,175.0,26,M,1,2019-06-19T14:55:02.760115
48399.0,33586.0,6543.0,3549.0,5456.0,-6430.0,-522.0,87.0,175.0,26,M,1,2019-06-19T14:55:03.357853
54810.0,36826.0,6756.0,3515.0,5364.0,-7016.0,-501.0,87.0,175.0,26,M,1,2019-06-19T14:55:03.896104
57010.0,37072.0,6688.0,3556.0,4606.0,-7122.0,-504.0,87.0,175.0,26,M,1,2019-06-19T14:55:04.493982
54905.0,35784.0,6856.0,3617.0,4115.0,-6978.0,-433.0,87.0,175.0,26,M,1,2019-06-19T14:55:05.031676
