seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
27978.0,38800.0,36403.0,13491.0,36272.0,-572.0,9148.0,59.0,160.0,19,F,1,2019-06-18T17:24:13.981624
28156.0,38861.0,36402.0,13615.0,35938.0,-905.0,9359.0,59.0,160.0,19,F,1,2019-06-18T17:24:14.498897
27907.0,38955.0,36318.0,13543.0,36151.0,-567.0,9208.0,59.0,160.0,19,F,1,2019-06-18T17:24:15.066698
28060.0,38726.0,36425.0,13587.0,36087.0,-536.0,9146.0,59.0,160.0,19,F,1,2019-06-18T17:24:15.634482
28150.0,38654.0,36399.0,13483.0,35949.0,-494.0,9039.0,59.0,160.0,19,F,1,2019-06-18T17:24:16.202151
27754.0,37127.0,36087.0,13656.0,34610.0,-2385.0,9078.0,59.0,160.0,19,F,1,2019-06-18T17:24:16.770121
28068.0,38910.0,36411.0,13439.0,33488.0,-2196.0,8668.0,59.0,160.0,19,F,1,2019-06-18T17:24:17.337625
27889.0,38658.0,36384.0,13394.0,32625.0,-2560.0,9867.0,59.0,160.0,19,F,1,2019-06-18T17:24:17.906206
29489.0,39598.0,36243.0,13410.0,31421.0,-3380.0,10842.0,59.0,160.0,19,F,1,2019-06-18T17:24:18.473128
28744.0,40124.0,36481.0,13568.0,32802.0,-2505.0,10183.0,59.0,160.0,19,F,1,2019-06-18T17:24:19.042223
29236.0,40212.0,36103.0,13225.0,32020.0,-3138.0,10773.0,59.0,160.0,19,F,1,2019-06-18T17:24:19.608598
29259.0,39486.0,36204.0,13288.0,31847.0,-3097.0,10698.0,59.0,160.0,19,F,1,2019-06-18T17:24:20.178168
29847.0,38689.0,36103.0,13408.0,32113.0,-2829.0,10495.0,59.0,160.0,19,F,1,2019-06-18T17:24:20.744041
28872.0,39595.0,36243.0,13184.0,31550.0,-2715.0,10372.0,59.0,160.0,19,F,1,2019-06-18T17:24:21.314175
29209.0,39333.0,36170.0,13281.0,33048.0,-2154.0,9968.0,59.0,160.0,19,F,1,2019-06-18T17:24:21.879524
29025.0,39422.0,36321.0,13314.0,33136.0,-1558.0,9863.0,59.0,160.0,19,F,1,2019-06-18T17:24:22.450151
29126.0,39317.0,36307.0,13246.0,33432.0,-1504.0,9720.0,59.0,160.0,19,F,1,2019-06-18T17:24:23.015013
29066.0,39604.0,36351.0,13290.0,32918.0,-1877.0,9991.0,59.0,160.0,19,F,1,2019-06-18T17:24:23.586069
28899.0,39622.0,36282.0,13076.0,33000.0,-1721.0,9810.0,59.0,160.0,19,F,1,2019-06-18T17:24:24.150482
28900.0,39642.0,36228.0,13174.0,33418.0,-1670.0,9839.0,59.0,160.0,19,F,1,2019-06-18T17:24:24.722026
