seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
43445.0,69566.0,13114.0,9259.0,31826.0,8320.0,-2128.0,76.0,183.0,26,M,1,2019-06-19T11:49:51.953808
43094.0,69879.0,13024.0,9301.0,31675.0,8309.0,-2062.0,76.0,183.0,26,M,1,2019-06-19T11:49:52.544857
43758.0,68843.0,13083.0,9346.0,31573.0,8305.0,-2011.0,76.0,183.0,26,M,1,2019-06-19T11:49:53.088953
43172.0,69474.0,13242.0,9387.0,31481.0,8285.0,-1962.0,76.0,183.0,26,M,1,2019-06-19T11:49:53.680970
42700.0,70083.0,13144.0,9301.0,31169.0,8439.0,-1968.0,76.0,183.0,26,M,1,2019-06-19T11:49:54.225001
42553.0,69796.0,13144.0,9258.0,31030.0,8319.0,-1917.0,76.0,183.0,26,M,1,2019-06-19T11:49:54.817147
42885.0,70127.0,13181.0,9246.0,31020.0,8412.0,-1953.0,76.0,183.0,26,M,1,2019-06-19T11:49:55.360605
42719.0,69791.0,13201.0,9221.0,31002.0,8339.0,-1893.0,76.0,183.0,26,M,1,2019-06-19T11:49:55.953104
42912.0,70149.0,13242.0,9220.0,30908.0,8545.0,-1921.0,76.0,183.0,26,M,1,2019-06-19T11:49:56.496117
42568.0,69771.0,13246.0,9137.0,30745.0,8427.0,-1897.0,76.0,183.0,26,M,1,2019-06-19T11:49:57.088873
42986.0,69953.0,13251.0,9158.0,30708.0,8478.0,-1856.0,76.0,183.0,26,M,1,2019-06-19T11:49:57.631679
42891.0,69587.0,13304.0,9135.0,30706.0,8502.0,-1817.0,76.0,183.0,26,M,1,2019-06-19T11:49:58.225294
42496.0,69929.0,13302.0,9110.0,30744.0,8523.0,-1856.0,76.0,183.0,26,M,1,2019-06-19T11:49:58.767184
42162.0,69945.0,13303.0,9094.0,30627.0,8559.0,-1977.0,76.0,183.0,26,M,1,2019-06-19T11:49:59.361743
41934.0,70204.0,13355.0,8991.0,30334.0,8572.0,-1913.0,76.0,183.0,26,M,1,2019-06-19T11:49:59.902881
41944.0,68856.0,13397.0,9058.0,30042.0,8442.0,-1925.0,76.0,183.0,26,M,1,2019-06-19T11:50:00.497397
42633.0,69597.0,13446.0,9064.0,30130.0,8425.0,-1828.0,76.0,183.0,26,M,1,2019-06-19T11:50:01.038185
43419.0,67962.0,13331.0,9000.0,30021.0,8663.0,-1969.0,76.0,183.0,26,M,1,2019-06-19T11:50:01.633511
43031.0,68831.0,13402.0,9064.0,29924.0,8617.0,-1878.0,76.0,183.0,26,M,1,2019-06-19T11:50:02.174014
43093.0,68771.0,13463.0,9087.0,29705.0,8492.0,-1754.0,76.0,183.0,26,M,1,2019-06-19T11:50:02.769596
