seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
42164.0,27283.0,11436.0,20277.0,24606.0,5995.0,-2413.0,75.0,172.0,25,M,1,2019-06-18T12:12:45.368702
42223.0,27040.0,11426.0,20402.0,24334.0,5975.0,-2436.0,75.0,172.0,25,M,1,2019-06-18T12:12:45.967791
42177.0,27043.0,11445.0,20356.0,24747.0,6362.0,-2488.0,75.0,172.0,25,M,1,2019-06-18T12:12:46.504781
42164.0,27339.0,11491.0,20644.0,24791.0,6109.0,-2490.0,75.0,172.0,25,M,1,2019-06-18T12:12:47.104374
42079.0,27288.0,11516.0,20729.0,24874.0,6307.0,-2474.0,75.0,172.0,25,M,1,2019-06-18T12:12:47.640832
42051.0,27068.0,11481.0,20655.0,24852.0,6253.0,-2463.0,75.0,172.0,25,M,1,2019-06-18T12:12:48.241265
41916.0,26920.0,11502.0,20661.0,24769.0,6257.0,-2461.0,75.0,172.0,25,M,1,2019-06-18T12:12:48.777059
41984.0,26943.0,11405.0,20649.0,24879.0,6625.0,-2442.0,75.0,172.0,25,M,1,2019-06-18T12:12:49.377912
42061.0,27469.0,11542.0,20884.0,24714.0,6209.0,-2515.0,75.0,172.0,25,M,1,2019-06-18T12:12:49.913317
41848.0,27254.0,11528.0,20979.0,24751.0,6317.0,-2476.0,75.0,172.0,25,M,1,2019-06-18T12:12:50.514455
41658.0,27070.0,11469.0,21511.0,24789.0,6453.0,-2502.0,75.0,172.0,25,M,1,2019-06-18T12:12:51.049324
41646.0,26906.0,11531.0,21301.0,24740.0,6359.0,-2556.0,75.0,172.0,25,M,1,2019-06-18T12:12:51.651174
41714.0,27084.0,11559.0,21316.0,24827.0,6700.0,-2503.0,75.0,172.0,25,M,1,2019-06-18T12:12:52.186035
41704.0,27160.0,11655.0,21328.0,24649.0,6560.0,-2573.0,75.0,172.0,25,M,1,2019-06-18T12:12:52.787771
41576.0,27077.0,11657.0,21306.0,24403.0,6252.0,-2546.0,75.0,172.0,25,M,1,2019-06-18T12:12:53.322543
41581.0,27041.0,11704.0,20897.0,24103.0,6224.0,-2584.0,75.0,172.0,25,M,1,2019-06-18T12:12:53.924302
41681.0,27104.0,11726.0,21094.0,24540.0,6614.0,-2562.0,75.0,172.0,25,M,1,2019-06-18T12:12:54.458826
41760.0,27276.0,11735.0,21208.0,24560.0,6596.0,-2533.0,75.0,172.0,25,M,1,2019-06-18T12:12:55.060419
41628.0,27120.0,11782.0,21058.0,24400.0,6451.0,-2603.0,75.0,172.0,25,M,1,2019-06-18T12:12:55.595101
41712.0,26976.0,11704.0,21062.0,24108.0,6339.0,-2610.0,75.0,172.0,25,M,1,2019-06-18T12:12:56.197446
