seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
14058.0,19744.0,-5812.0,-1528.0,11943.0,2077.0,1996.0,53.0,162.0,19,F,1,2019-06-19T14:47:25.181088
14186.0,19430.0,-5866.0,-1601.0,11742.0,2159.0,1990.0,53.0,162.0,19,F,1,2019-06-19T14:47:25.754922
14064.0,19834.0,-5852.0,-1578.0,11941.0,2183.0,2038.0,53.0,162.0,19,F,1,2019-06-19T14:47:26.316464
13902.0,19981.0,-5841.0,-1512.0,11734.0,1927.0,2029.0,53.0,162.0,19,F,1,2019-06-19T14:47:26.891045
14200.0,19914.0,-5919.0,-1702.0,11821.0,2101.0,2020.0,53.0,162.0,19,F,1,2019-06-19T14:47:27.451822
14119.0,19736.0,-5850.0,-1725.0,11677.0,2115.0,2017.0,53.0,162.0,19,F,1,2019-06-19T14:47:28.027167
14097.0,19603.0,-5870.0,-1539.0,11634.0,2113.0,2022.0,53.0,162.0,19,F,1,2019-06-19T14:47:28.587232
13949.0,19705.0,-5841.0,-1714.0,11741.0,1912.0,2071.0,53.0,162.0,19,F,1,2019-06-19T14:47:29.163188
14026.0,19591.0,-5894.0,-1562.0,11456.0,1686.0,2003.0,53.0,162.0,19,F,1,2019-06-19T14:47:29.722628
14285.0,19597.0,-5803.0,-1739.0,11353.0,2018.0,2017.0,53.0,162.0,19,F,1,2019-06-19T14:47:30.299319
14702.0,19325.0,-5827.0,-1601.0,11193.0,2100.0,1969.0,53.0,162.0,19,F,1,2019-06-19T14:47:30.857910
14699.0,19104.0,-5848.0,-1605.0,11412.0,2225.0,1986.0,53.0,162.0,19,F,1,2019-06-19T14:47:31.435290
14309.0,19389.0,-5796.0,-1679.0,11198.0,2087.0,1980.0,53.0,162.0,19,F,1,2019-06-19T14:47:31.993123
13975.0,19325.0,-5786.0,-1550.0,11793.0,2207.0,1969.0,53.0,162.0,19,F,1,2019-06-19T14:47:32.571288
13930.0,19278.0,-5763.0,-1624.0,11783.0,2233.0,1951.0,53.0,162.0,19,F,1,2019-06-19T14:47:33.128445
13906.0,19143.0,-5747.0,-1577.0,11670.0,2409.0,1963.0,53.0,162.0,19,F,1,2019-06-19T14:47:33.707269
13930.0,19275.0,-5754.0,-1611.0,11556.0,2191.0,1957.0,53.0,162.0,19,F,1,2019-06-19T14:47:34.263738
13860.0,19398.0,-5735.0,-1615.0,11518.0,2027.0,1980.0,53.0,162.0,19,F,1,2019-06-19T14:47:34.843430
14047.0,19297.0,-5725.0,-1575.0,11559.0,2226.0,1938.0,53.0,162.0,19,F,1,2019-06-19T14:47:35.398963
13849.0,19142.0,-5636.0,-1569.0,11265.0,2230.0,1914.0,53.0,162.0,19,F,1,2019-06-19T14:47:35.979040
