seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
41765.0,76614.0,6659.0,3195.0,7501.0,-6576.0,3002.0,87.0,175.0,26,M,1,2019-06-19T14:55:29.280217
41265.0,76024.0,6612.0,3327.0,7652.0,-6589.0,2905.0,87.0,175.0,26,M,1,2019-06-19T14:55:29.824160
40903.0,74324.0,6700.0,3132.0,7787.0,-6451.0,2804.0,87.0,175.0,26,M,1,2019-06-19T14:55:30.416448
41517.0,74966.0,6615.0,3180.0,7724.0,-6539.0,2858.0,87.0,175.0,26,M,1,2019-06-19T14:55:30.959546
42071.0,76358.0,6419.0,3234.0,7684.0,-6458.0,2765.0,87.0,175.0,26,M,1,2019-06-19T14:55:31.552578
42186.0,74768.0,6435.0,3131.0,7687.0,-6072.0,2404.0,87.0,175.0,26,M,1,2019-06-19T14:55:32.094846
40566.0,71773.0,6565.0,3211.0,7538.0,-6167.0,2348.0,87.0,175.0,26,M,1,2019-06-19T14:55:32.688591
41204.0,73532.0,6591.0,3183.0,7180.0,-6290.0,2559.0,87.0,175.0,26,M,1,2019-06-19T14:55:33.230403
41696.0,76256.0,6438.0,3177.0,6993.0,-6238.0,2581.0,87.0,175.0,26,M,1,2019-06-19T14:55:33.824509
40913.0,74796.0,6459.0,3219.0,6864.0,-6270.0,2361.0,87.0,175.0,26,M,1,2019-06-19T14:55:34.365771
38577.0,70576.0,6517.0,3242.0,6876.0,-6174.0,1910.0,87.0,175.0,26,M,1,2019-06-19T14:55:34.960564
40663.0,75293.0,6755.0,3184.0,6759.0,-6014.0,2309.0,87.0,175.0,26,M,1,2019-06-19T14:55:35.501681
42563.0,75876.0,6881.0,3037.0,6608.0,-6518.0,2385.0,87.0,175.0,26,M,1,2019-06-19T14:55:36.096196
42684.0,76547.0,6896.0,3129.0,6652.0,-6465.0,2532.0,87.0,175.0,26,M,1,2019-06-19T14:55:36.636983
41295.0,72111.0,7143.0,3231.0,6422.0,-6548.0,2222.0,87.0,175.0,26,M,1,2019-06-19T14:55:37.232581
41151.0,71120.0,7362.0,3183.0,6428.0,-6575.0,2188.0,87.0,175.0,26,M,1,2019-06-19T14:55:37.771847
42465.0,73144.0,7405.0,3219.0,6360.0,-6222.0,2268.0,87.0,175.0,26,M,1,2019-06-19T14:55:38.368627
42827.0,74881.0,7221.0,3269.0,6318.0,-6020.0,2061.0,87.0,175.0,26,M,1,2019-06-19T14:55:38.907781
41558.0,74443.0,7235.0,3263.0,6408.0,-5953.0,1844.0,87.0,175.0,26,M,1,2019-06-19T14:55:39.504766
41873.0,74315.0,7204.0,3236.0,6395.0,-5869.0,1882.0,87.0,175.0,26,M,1,2019-06-19T14:55:40.043185
