seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
34376.0,36825.0,37683.0,14554.0,11419.0,4491.0,2941.0,59.0,160.0,19,F,1,2019-06-18T17:23:15.159884
34478.0,36396.0,37771.0,14380.0,8421.0,4405.0,2819.0,59.0,160.0,19,F,1,2019-06-18T17:23:15.735055
35900.0,35851.0,37550.0,14988.0,10479.0,2725.0,2737.0,59.0,160.0,19,F,1,2019-06-18T17:23:16.295534
34803.0,37095.0,37857.0,14380.0,10000.0,4381.0,2786.0,59.0,160.0,19,F,1,2019-06-18T17:23:16.871251
33834.0,37337.0,38120.0,14306.0,9739.0,4260.0,2762.0,59.0,160.0,19,F,1,2019-06-18T17:23:17.431395
33662.0,37471.0,38404.0,14298.0,9427.0,4064.0,2792.0,59.0,160.0,19,F,1,2019-06-18T17:23:18.007113
33502.0,38133.0,38900.0,14154.0,8553.0,4321.0,2652.0,59.0,160.0,19,F,1,2019-06-18T17:23:18.567008
33641.0,38204.0,38791.0,14064.0,9030.0,4531.0,2726.0,59.0,160.0,19,F,1,2019-06-18T17:23:19.143180
34007.0,38305.0,38643.0,14046.0,8937.0,4441.0,2907.0,59.0,160.0,19,F,1,2019-06-18T17:23:19.702764
33958.0,38215.0,38425.0,14151.0,8918.0,4485.0,2853.0,59.0,160.0,19,F,1,2019-06-18T17:23:20.279099
34342.0,38196.0,38487.0,14142.0,9274.0,4770.0,2768.0,59.0,160.0,19,F,1,2019-06-18T17:23:20.838478
33711.0,38309.0,38349.0,14069.0,8797.0,4170.0,3125.0,59.0,160.0,19,F,1,2019-06-18T17:23:21.415216
34798.0,38299.0,38429.0,14284.0,9752.0,2872.0,3342.0,59.0,160.0,19,F,1,2019-06-18T17:23:21.974085
34924.0,38627.0,38314.0,14248.0,9999.0,3015.0,3530.0,59.0,160.0,19,F,1,2019-06-18T17:23:22.551256
34531.0,38169.0,38161.0,14227.0,9992.0,3743.0,3120.0,59.0,160.0,19,F,1,2019-06-18T17:23:23.109942
35277.0,38038.0,37917.0,14239.0,11087.0,3167.0,3020.0,59.0,160.0,19,F,1,2019-06-18T17:23:23.687337
36747.0,36958.0,37407.0,14171.0,9755.0,698.0,3341.0,59.0,160.0,19,F,1,2019-06-18T17:23:24.245613
36228.0,36795.0,37801.0,13944.0,8361.0,1906.0,3254.0,59.0,160.0,19,F,1,2019-06-18T17:23:24.823371
35501.0,38126.0,37880.0,14455.0,6456.0,731.0,3910.0,59.0,160.0,19,F,1,2019-06-18T17:23:25.381335
34362.0,38832.0,37660.0,14029.0,6658.0,3634.0,2822.0,59.0,160.0,19,F,1,2019-06-18T17:23:25.959444
