seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
22365.0,26552.0,16488.0,1242.0,16383.0,6761.0,1182.0,47.0,159.0,25,F,1,2019-06-19T16:07:49.443370
22067.0,26427.0,16543.0,1339.0,16348.0,6289.0,1237.0,47.0,159.0,25,F,1,2019-06-19T16:07:50.016392
21600.0,26879.0,16715.0,1173.0,17623.0,6417.0,1197.0,47.0,159.0,25,F,1,2019-06-19T16:07:50.583972
22175.0,26767.0,16606.0,1164.0,18364.0,6708.0,1126.0,47.0,159.0,25,F,1,2019-06-19T16:07:51.151342
22653.0,26591.0,16544.0,1173.0,16889.0,7361.0,1126.0,47.0,159.0,25,F,1,2019-06-19T16:07:51.718805
22638.0,26404.0,16374.0,1279.0,15922.0,6562.0,1175.0,47.0,159.0,25,F,1,2019-06-19T16:07:52.286158
22163.0,26411.0,16471.0,1334.0,16476.0,6413.0,1126.0,47.0,159.0,25,F,1,2019-06-19T16:07:52.853321
22349.0,26443.0,16385.0,1225.0,16232.0,6661.0,1093.0,47.0,159.0,25,F,1,2019-06-19T16:07:53.420901
22726.0,26411.0,16383.0,1152.0,16228.0,6250.0,1075.0,47.0,159.0,25,F,1,2019-06-19T16:07:53.988276
22671.0,26301.0,16372.0,1190.0,15741.0,6023.0,1101.0,47.0,159.0,25,F,1,2019-06-19T16:07:54.555606
22739.0,26054.0,16230.0,1201.0,14943.0,6348.0,1117.0,47.0,159.0,25,F,1,2019-06-19T16:07:55.122942
22130.0,25721.0,16190.0,1243.0,15955.0,7772.0,1043.0,47.0,159.0,25,F,1,2019-06-19T16:07:55.690444
21871.0,26087.0,16262.0,1260.0,16665.0,8413.0,1003.0,47.0,159.0,25,F,1,2019-06-19T16:07:56.257736
21321.0,25415.0,16309.0,1139.0,18946.0,8638.0,903.0,47.0,159.0,25,F,1,2019-06-19T16:07:56.825190
20505.0,25464.0,16433.0,1287.0,19424.0,8360.0,993.0,47.0,159.0,25,F,1,2019-06-19T16:07:57.392540
21603.0,25546.0,16481.0,1328.0,18273.0,8306.0,941.0,47.0,159.0,25,F,1,2019-06-19T16:07:57.959945
22628.0,25976.0,16205.0,1284.0,15901.0,6073.0,970.0,47.0,159.0,25,F,1,2019-06-19T16:07:58.527488
22081.0,26192.0,16183.0,1212.0,16749.0,6216.0,921.0,47.0,159.0,25,F,1,2019-06-19T16:07:59.094103
22812.0,25982.0,16224.0,1170.0,16650.0,6611.0,898.0,47.0,159.0,25,F,1,2019-06-19T16:07:59.663312
22787.0,25930.0,16184.0,1234.0,16303.0,6291.0,880.0,47.0,159.0,25,F,1,2019-06-19T16:08:00.229436
