seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
49264.0,43296.0,15699.0,12262.0,12156.0,14193.0,-3514.0,63.0,170.0,26,M,1,2019-06-19T12:51:18.578085
48933.0,43179.0,15660.0,12255.0,12232.0,13929.0,-3526.0,63.0,170.0,26,M,1,2019-06-19T12:51:19.163216
49017.0,43270.0,15608.0,12276.0,12465.0,14013.0,-3470.0,63.0,170.0,26,M,1,2019-06-19T12:51:19.730615
49779.0,43553.0,15694.0,12277.0,11852.0,14491.0,-3465.0,63.0,170.0,26,M,1,2019-06-19T12:51:20.334145
49090.0,43282.0,15702.0,12314.0,12174.0,14355.0,-3442.0,63.0,170.0,26,M,1,2019-06-19T12:51:20.866583
48730.0,43036.0,15608.0,12314.0,12168.0,13942.0,-3486.0,63.0,170.0,26,M,1,2019-06-19T12:51:21.470093
48730.0,43202.0,15634.0,12300.0,12204.0,13832.0,-3459.0,63.0,170.0,26,M,1,2019-06-19T12:51:22.002196
48815.0,43235.0,15635.0,12305.0,12249.0,13919.0,-3386.0,63.0,170.0,26,M,1,2019-06-19T12:51:22.606347
49147.0,43456.0,15627.0,12296.0,11684.0,14013.0,-3441.0,63.0,170.0,26,M,1,2019-06-19T12:51:23.137408
48816.0,43312.0,15691.0,12309.0,12027.0,13879.0,-3414.0,63.0,170.0,26,M,1,2019-06-19T12:51:23.742325
48755.0,43321.0,15658.0,12234.0,12090.0,13718.0,-3348.0,63.0,170.0,26,M,1,2019-06-19T12:51:24.272829
48777.0,43280.0,15620.0,12359.0,12187.0,13689.0,-3392.0,63.0,170.0,26,M,1,2019-06-19T12:51:24.878365
49339.0,43438.0,15631.0,12295.0,11635.0,13910.0,-3310.0,63.0,170.0,26,M,1,2019-06-19T12:51:25.408239
49044.0,43345.0,15730.0,12255.0,11862.0,13667.0,-3333.0,63.0,170.0,26,M,1,2019-06-19T12:51:26.014436
48873.0,43203.0,15684.0,12269.0,12062.0,13391.0,-3335.0,63.0,170.0,26,M,1,2019-06-19T12:51:26.543722
49145.0,43297.0,15705.0,12274.0,11903.0,13368.0,-3327.0,63.0,170.0,26,M,1,2019-06-19T12:51:27.150467
49629.0,43523.0,15732.0,12313.0,11217.0,13607.0,-3315.0,63.0,170.0,26,M,1,2019-06-19T12:51:27.679091
49236.0,43567.0,15790.0,12389.0,11982.0,13682.0,-3312.0,63.0,170.0,26,M,1,2019-06-19T12:51:28.286461
48854.0,43295.0,15660.0,12421.0,12176.0,13324.0,-3289.0,63.0,170.0,26,M,1,2019-06-19T12:51:28.814448
48937.0,43433.0,15735.0,12406.0,12044.0,13740.0,-3215.0,63.0,170.0,26,M,1,2019-06-19T12:51:29.422470
