seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-37437.0,-29802.0,9659.0,-802.0,26134.0,2052.0,-1796.0,50.0,156.0,26,F,1,2019-06-18T14:15:04.976126
-37500.0,-29613.0,9623.0,-781.0,25881.0,2323.0,-1893.0,50.0,156.0,26,F,1,2019-06-18T14:15:05.570121
-37597.0,-29864.0,9698.0,-797.0,26143.0,2276.0,-1834.0,50.0,156.0,26,F,1,2019-06-18T14:15:06.137664
-37578.0,-29746.0,9724.0,-743.0,25963.0,2994.0,-1882.0,50.0,156.0,26,F,1,2019-06-18T14:15:06.731295
-37537.0,-29746.0,9709.0,-726.0,26054.0,2095.0,-1913.0,50.0,156.0,26,F,1,2019-06-18T14:15:07.272916
-37362.0,-30019.0,9735.0,-776.0,26035.0,2483.0,-1505.0,50.0,156.0,26,F,1,2019-06-18T14:15:07.866901
-37437.0,-29907.0,9630.0,-966.0,26095.0,2150.0,-1403.0,50.0,156.0,26,F,1,2019-06-18T14:15:08.408376
-37009.0,-29170.0,9474.0,-1008.0,25918.0,2280.0,-1601.0,50.0,156.0,26,F,1,2019-06-18T14:15:09.002373
-36619.0,-28766.0,9409.0,-947.0,25668.0,2460.0,-1762.0,50.0,156.0,26,F,1,2019-06-18T14:15:09.543826
-36334.0,-28538.0,9320.0,-849.0,25262.0,2141.0,-1762.0,50.0,156.0,26,F,1,2019-06-18T14:15:10.138110
-36851.0,-29211.0,9523.0,-853.0,25016.0,1904.0,-1672.0,50.0,156.0,26,F,1,2019-06-18T14:15:10.679413
-37073.0,-29538.0,9495.0,-980.0,25722.0,1635.0,-1711.0,50.0,156.0,26,F,1,2019-06-18T14:15:11.273821
-38344.0,-29630.0,9318.0,-1168.0,30812.0,4825.0,-1683.0,50.0,156.0,26,F,1,2019-06-18T14:15:11.814751
-36370.0,-28449.0,9466.0,-1000.0,26717.0,2457.0,-1733.0,50.0,156.0,26,F,1,2019-06-18T14:15:12.409480
-36652.0,-28061.0,9413.0,-1185.0,26896.0,2108.0,-1710.0,50.0,156.0,26,F,1,2019-06-18T14:15:12.950009
-37185.0,-28454.0,9401.0,-1133.0,26798.0,2635.0,-1889.0,50.0,156.0,26,F,1,2019-06-18T14:15:13.545204
-37071.0,-28608.0,9522.0,-1124.0,27082.0,2453.0,-1846.0,50.0,156.0,26,F,1,2019-06-18T14:15:14.084906
-36786.0,-28614.0,9506.0,-1123.0,26935.0,2190.0,-1697.0,50.0,156.0,26,F,1,2019-06-18T14:15:14.680890
-36645.0,-28520.0,9498.0,-1152.0,26721.0,2046.0,-1593.0,50.0,156.0,26,F,1,2019-06-18T14:15:15.220377
-36720.0,-28618.0,9473.0,-1206.0,27746.0,1667.0,-1576.0,50.0,156.0,26,F,1,2019-06-18T14:15:15.816637
