seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
28640.0,36356.0,19136.0,9822.0,9852.0,4915.0,8979.0,43.0,158.0,25,F,1,2019-06-17T13:14:21.123553
28321.0,36136.0,19211.0,9772.0,10195.0,4652.0,8875.0,43.0,158.0,25,F,1,2019-06-17T13:14:21.710326
28402.0,36237.0,19172.0,9720.0,10058.0,4486.0,8955.0,43.0,158.0,25,F,1,2019-06-17T13:14:22.258711
28579.0,36570.0,19218.0,9670.0,9815.0,4151.0,8997.0,43.0,158.0,25,F,1,2019-06-17T13:14:22.846203
28340.0,36531.0,19151.0,9695.0,10409.0,4148.0,9006.0,43.0,158.0,25,F,1,2019-06-17T13:14:23.394022
28267.0,36506.0,19092.0,9644.0,10883.0,4150.0,8960.0,43.0,158.0,25,F,1,2019-06-17T13:14:23.982046
28120.0,36399.0,19053.0,9704.0,11044.0,4136.0,8896.0,43.0,158.0,25,F,1,2019-06-17T13:14:24.529148
28367.0,36539.0,19028.0,9599.0,9972.0,4044.0,8940.0,43.0,158.0,25,F,1,2019-06-17T13:14:25.117760
28426.0,36138.0,19216.0,9720.0,9821.0,3671.0,8876.0,43.0,158.0,25,F,1,2019-06-17T13:14:25.664864
28367.0,36251.0,19271.0,9731.0,10278.0,4188.0,8905.0,43.0,158.0,25,F,1,2019-06-17T13:14:26.253539
28437.0,36401.0,19004.0,9616.0,10394.0,4269.0,8885.0,43.0,158.0,25,F,1,2019-06-17T13:14:26.800409
28228.0,36248.0,19121.0,9758.0,10737.0,4249.0,8823.0,43.0,158.0,25,F,1,2019-06-17T13:14:27.389399
28351.0,36135.0,19156.0,9659.0,10877.0,4100.0,8809.0,43.0,158.0,25,F,1,2019-06-17T13:14:27.935750
28544.0,36387.0,19050.0,9590.0,10631.0,4081.0,8837.0,43.0,158.0,25,F,1,2019-06-17T13:14:28.525384
28534.0,36435.0,19089.0,9723.0,10200.0,3863.0,8858.0,43.0,158.0,25,F,1,2019-06-17T13:14:29.070495
28381.0,36418.0,19096.0,9719.0,10654.0,3954.0,8822.0,43.0,158.0,25,F,1,2019-06-17T13:14:29.661029
28424.0,36433.0,19002.0,9659.0,10675.0,3727.0,8831.0,43.0,158.0,25,F,1,2019-06-17T13:14:30.206359
28323.0,36388.0,19082.0,9640.0,10775.0,3512.0,8935.0,43.0,158.0,25,F,1,2019-06-17T13:14:30.797228
28371.0,36636.0,19312.0,9662.0,10040.0,3373.0,8979.0,43.0,158.0,25,F,1,2019-06-17T13:14:31.341604
28357.0,36751.0,19283.0,9661.0,10536.0,3285.0,8902.0,43.0,158.0,25,F,1,2019-06-17T13:14:31.933042
