seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
20084.0,34313.0,29941.0,17723.0,41106.0,-768.0,17869.0,62.0,165.0,24,F,2,2019-06-19T11:44:13.014052
20351.0,34374.0,30016.0,17819.0,39256.0,-733.0,17832.0,62.0,165.0,24,F,2,2019-06-19T11:44:13.596277
20595.0,34618.0,29972.0,17791.0,37914.0,-717.0,17849.0,62.0,165.0,24,F,2,2019-06-19T11:44:14.149875
20606.0,34577.0,29922.0,17854.0,37069.0,-718.0,17781.0,62.0,165.0,24,F,2,2019-06-19T11:44:14.732183
20626.0,34460.0,29940.0,17923.0,36780.0,-756.0,17576.0,62.0,165.0,24,F,2,2019-06-19T11:44:15.285387
20592.0,34442.0,29991.0,17914.0,36107.0,-775.0,17632.0,62.0,165.0,24,F,2,2019-06-19T11:44:15.868082
20500.0,34404.0,29988.0,17872.0,36047.0,-755.0,17643.0,62.0,165.0,24,F,2,2019-06-19T11:44:16.420684
20533.0,34336.0,29949.0,17904.0,36594.0,-736.0,17494.0,62.0,165.0,24,F,2,2019-06-19T11:44:17.004010
20485.0,34317.0,29867.0,17919.0,36690.0,-780.0,17615.0,62.0,165.0,24,F,2,2019-06-19T11:44:17.556037
20521.0,34405.0,29835.0,17918.0,36852.0,-774.0,17509.0,62.0,165.0,24,F,2,2019-06-19T11:44:18.139942
20577.0,34418.0,29796.0,17981.0,36647.0,-823.0,17431.0,62.0,165.0,24,F,2,2019-06-19T11:44:18.691245
20533.0,34476.0,29874.0,17992.0,36790.0,-820.0,17386.0,62.0,165.0,24,F,2,2019-06-19T11:44:19.275833
20574.0,34387.0,29677.0,17977.0,36903.0,-788.0,17417.0,62.0,165.0,24,F,2,2019-06-19T11:44:19.826501
20631.0,34475.0,29715.0,17996.0,36504.0,-804.0,17322.0,62.0,165.0,24,F,2,2019-06-19T11:44:20.411665
20534.0,34409.0,29777.0,18088.0,35708.0,-796.0,17148.0,62.0,165.0,24,F,2,2019-06-19T11:44:20.961632
20457.0,34334.0,29569.0,17990.0,35479.0,-815.0,17404.0,62.0,165.0,24,F,2,2019-06-19T11:44:21.547558
20407.0,34342.0,29575.0,17961.0,35666.0,-766.0,17322.0,62.0,165.0,24,F,2,2019-06-19T11:44:22.096244
20322.0,34290.0,29611.0,18066.0,35560.0,-886.0,17241.0,62.0,165.0,24,F,2,2019-06-19T11:44:22.683546
20373.0,34252.0,29427.0,17985.0,35379.0,-814.0,17314.0,62.0,165.0,24,F,2,2019-06-19T11:44:23.232048
20409.0,34253.0,29370.0,17953.0,35091.0,-789.0,17183.0,62.0,165.0,24,F,2,2019-06-19T11:44:23.819418
