seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
58099.0,43000.0,28749.0,12313.0,2479.0,-516.0,945.0,69.0,181.0,23,M,2,2019-06-18T16:44:07.946716
57538.0,43208.0,28817.0,12152.0,2600.0,-601.0,869.0,69.0,181.0,23,M,2,2019-06-18T16:44:08.476783
58070.0,43210.0,28832.0,12260.0,2644.0,-549.0,954.0,69.0,181.0,23,M,2,2019-06-18T16:44:09.082630
58497.0,42966.0,28658.0,12310.0,2644.0,-524.0,927.0,69.0,181.0,23,M,2,2019-06-18T16:44:09.611868
58312.0,43096.0,28651.0,12354.0,2745.0,-518.0,871.0,69.0,181.0,23,M,2,2019-06-18T16:44:10.218541
58125.0,43204.0,28624.0,12340.0,2759.0,-558.0,856.0,69.0,181.0,23,M,2,2019-06-18T16:44:10.746859
58407.0,43063.0,28658.0,12461.0,2678.0,-586.0,880.0,69.0,181.0,23,M,2,2019-06-18T16:44:11.354398
60739.0,44898.0,28505.0,13009.0,2681.0,-606.0,811.0,69.0,181.0,23,M,2,2019-06-18T16:44:11.882074
62607.0,43839.0,29150.0,12840.0,2778.0,-618.0,828.0,69.0,181.0,23,M,2,2019-06-18T16:44:12.449629
54163.0,46673.0,29278.0,12116.0,2074.0,-645.0,827.0,69.0,181.0,23,M,2,2019-06-18T16:44:13.016947
50495.0,42149.0,29551.0,11715.0,2707.0,-762.0,853.0,69.0,181.0,23,M,2,2019-06-18T16:44:13.584711
51665.0,41873.0,29466.0,12163.0,2530.0,-763.0,757.0,69.0,181.0,23,M,2,2019-06-18T16:44:14.152159
51451.0,41357.0,29328.0,11938.0,2471.0,-739.0,833.0,69.0,181.0,23,M,2,2019-06-18T16:44:14.719874
53257.0,42588.0,29362.0,12853.0,2327.0,-807.0,758.0,69.0,181.0,23,M,2,2019-06-18T16:44:15.287302
52968.0,41655.0,29208.0,12465.0,2400.0,-839.0,822.0,69.0,181.0,23,M,2,2019-06-18T16:44:15.854862
50766.0,41776.0,29278.0,11947.0,2291.0,-847.0,784.0,69.0,181.0,23,M,2,2019-06-18T16:44:16.422446
51937.0,41788.0,29201.0,12105.0,2260.0,-841.0,769.0,69.0,181.0,23,M,2,2019-06-18T16:44:16.990026
49858.0,41752.0,29268.0,11656.0,2301.0,-911.0,791.0,69.0,181.0,23,M,2,2019-06-18T16:44:17.557663
50001.0,41763.0,29339.0,11714.0,2242.0,-863.0,835.0,69.0,181.0,23,M,2,2019-06-18T16:44:18.125160
50254.0,42184.0,29440.0,11726.0,2149.0,-976.0,781.0,69.0,181.0,23,M,2,2019-06-18T16:44:18.692819
