seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
3644.0,14726.0,16413.0,601.0,31549.0,5704.0,-10672.0,62.0,169.0,20,F,2,2019-06-20T11:50:17.331226
1278.0,14618.0,17049.0,542.0,29516.0,5592.0,-12347.0,62.0,169.0,20,F,2,2019-06-20T11:50:17.916189
2019.0,15341.0,16822.0,571.0,29301.0,5614.0,-13145.0,62.0,169.0,20,F,2,2019-06-20T11:50:18.467467
2241.0,15729.0,16569.0,551.0,28957.0,5586.0,-13247.0,62.0,169.0,20,F,2,2019-06-20T11:50:19.052410
2254.0,15765.0,16596.0,543.0,28702.0,5608.0,-13222.0,62.0,169.0,20,F,2,2019-06-20T11:50:19.603804
2306.0,15806.0,16328.0,560.0,28511.0,5510.0,-13179.0,62.0,169.0,20,F,2,2019-06-20T11:50:20.188660
2334.0,15846.0,16271.0,534.0,28405.0,5485.0,-13189.0,62.0,169.0,20,F,2,2019-06-20T11:50:20.740100
2429.0,15820.0,16213.0,529.0,28197.0,5408.0,-13151.0,62.0,169.0,20,F,2,2019-06-20T11:50:21.325031
2335.0,15712.0,16316.0,559.0,28201.0,5401.0,-13117.0,62.0,169.0,20,F,2,2019-06-20T11:50:21.876388
2396.0,15717.0,16218.0,564.0,28116.0,5392.0,-13180.0,62.0,169.0,20,F,2,2019-06-20T11:50:22.461386
2394.0,15727.0,16148.0,627.0,27970.0,5391.0,-13192.0,62.0,169.0,20,F,2,2019-06-20T11:50:23.012414
2422.0,15761.0,16127.0,473.0,27949.0,5370.0,-13251.0,62.0,169.0,20,F,2,2019-06-20T11:50:23.597758
2448.0,15729.0,16083.0,626.0,27863.0,5267.0,-13235.0,62.0,169.0,20,F,2,2019-06-20T11:50:24.148623
2570.0,15758.0,15842.0,562.0,27812.0,5264.0,-13168.0,62.0,169.0,20,F,2,2019-06-20T11:50:24.734116
2365.0,15650.0,15789.0,466.0,27747.0,5292.0,-13244.0,62.0,169.0,20,F,2,2019-06-20T11:50:25.284786
2391.0,15669.0,15907.0,523.0,27706.0,5226.0,-13232.0,62.0,169.0,20,F,2,2019-06-20T11:50:25.870529
2444.0,15709.0,15884.0,533.0,27656.0,5123.0,-13246.0,62.0,169.0,20,F,2,2019-06-20T11:50:26.421072
2451.0,15714.0,15758.0,507.0,27587.0,5127.0,-13321.0,62.0,169.0,20,F,2,2019-06-20T11:50:27.006847
2574.0,15652.0,15765.0,578.0,27579.0,5116.0,-13282.0,62.0,169.0,20,F,2,2019-06-20T11:50:27.557334
2446.0,15570.0,15831.0,522.0,27568.0,5017.0,-13307.0,62.0,169.0,20,F,2,2019-06-20T11:50:28.143123
