seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
32387.0,36748.0,44491.0,31415.0,32829.0,-4380.0,21033.0,59.0,160.0,19,F,2,2019-06-18T17:24:50.952093
32384.0,35081.0,42996.0,35732.0,32626.0,-4390.0,20168.0,59.0,160.0,19,F,2,2019-06-18T17:24:51.495923
31831.0,34026.0,41992.0,33690.0,33175.0,-4436.0,19232.0,59.0,160.0,19,F,2,2019-06-18T17:24:52.088366
32046.0,35012.0,42293.0,33366.0,33179.0,-4439.0,19070.0,59.0,160.0,19,F,2,2019-06-18T17:24:52.631362
31515.0,35853.0,42387.0,30619.0,33264.0,-4416.0,19265.0,59.0,160.0,19,F,2,2019-06-18T17:24:53.224411
28995.0,34488.0,41763.0,26492.0,33257.0,-4478.0,20601.0,59.0,160.0,19,F,2,2019-06-18T17:24:53.766948
30141.0,34771.0,42079.0,27143.0,33112.0,-4445.0,19988.0,59.0,160.0,19,F,2,2019-06-18T17:24:54.360479
30283.0,35111.0,42677.0,28051.0,32783.0,-4421.0,19414.0,59.0,160.0,19,F,2,2019-06-18T17:24:54.902202
30440.0,36090.0,43654.0,29008.0,32881.0,-4461.0,18372.0,59.0,160.0,19,F,2,2019-06-18T17:24:55.496345
32421.0,35828.0,43113.0,29438.0,33160.0,-4342.0,18042.0,59.0,160.0,19,F,2,2019-06-18T17:24:56.037732
32023.0,36203.0,42847.0,28383.0,33124.0,-4335.0,18235.0,59.0,160.0,19,F,2,2019-06-18T17:24:56.632189
33040.0,35462.0,41517.0,25447.0,33039.0,-4377.0,19314.0,59.0,160.0,19,F,2,2019-06-18T17:24:57.172845
34110.0,35319.0,39123.0,26240.0,32352.0,-4321.0,19437.0,59.0,160.0,19,F,2,2019-06-18T17:24:57.767970
33335.0,35361.0,39859.0,26006.0,32288.0,-4291.0,19903.0,59.0,160.0,19,F,2,2019-06-18T17:24:58.308383
33558.0,35696.0,40247.0,24983.0,32305.0,-4338.0,19921.0,59.0,160.0,19,F,2,2019-06-18T17:24:58.904036
33181.0,35902.0,40790.0,23034.0,32233.0,-4345.0,20103.0,59.0,160.0,19,F,2,2019-06-18T17:24:59.444131
32103.0,36078.0,41591.0,24065.0,32683.0,-4340.0,19667.0,59.0,160.0,19,F,2,2019-06-18T17:25:00.039864
29409.0,37398.0,43957.0,26713.0,34529.0,-4330.0,22429.0,59.0,160.0,19,F,2,2019-06-18T17:25:00.579508
30516.0,37621.0,43689.0,30051.0,34573.0,-4297.0,20547.0,59.0,160.0,19,F,2,2019-06-18T17:25:01.175628
30779.0,37733.0,43391.0,29526.0,34462.0,-4263.0,20372.0,59.0,160.0,19,F,2,2019-06-18T17:25:01.714608
