seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
19396.0,30040.0,38080.0,13319.0,21863.0,-2899.0,15585.0,63.0,170.0,20,F,2,2019-06-18T17:30:40.649049
19120.0,30585.0,38480.0,12924.0,23539.0,-2840.0,15932.0,63.0,170.0,20,F,2,2019-06-18T17:30:41.248773
18695.0,29591.0,37902.0,13124.0,22282.0,-2843.0,16129.0,63.0,170.0,20,F,2,2019-06-18T17:30:41.784658
18285.0,28971.0,37601.0,13436.0,22763.0,-2766.0,16481.0,63.0,170.0,20,F,2,2019-06-18T17:30:42.384817
17941.0,28587.0,38382.0,13720.0,23852.0,-2834.0,15978.0,63.0,170.0,20,F,2,2019-06-18T17:30:42.920831
17258.0,29136.0,38680.0,13403.0,23334.0,-2800.0,15860.0,63.0,170.0,20,F,2,2019-06-18T17:30:43.520978
17611.0,28685.0,38481.0,13538.0,23575.0,-2804.0,15669.0,63.0,170.0,20,F,2,2019-06-18T17:30:44.056604
17564.0,28200.0,38512.0,13550.0,23757.0,-2790.0,16140.0,63.0,170.0,20,F,2,2019-06-18T17:30:44.657054
17454.0,28029.0,38501.0,13651.0,24348.0,-2804.0,16112.0,63.0,170.0,20,F,2,2019-06-18T17:30:45.192354
17283.0,28124.0,38505.0,13469.0,24322.0,-2772.0,15769.0,63.0,170.0,20,F,2,2019-06-18T17:30:45.793148
17162.0,28189.0,38390.0,13359.0,24303.0,-2769.0,15727.0,63.0,170.0,20,F,2,2019-06-18T17:30:46.328190
17213.0,28069.0,38237.0,13314.0,24203.0,-2808.0,16354.0,63.0,170.0,20,F,2,2019-06-18T17:30:46.929257
17382.0,27675.0,38208.0,13411.0,24183.0,-2791.0,16076.0,63.0,170.0,20,F,2,2019-06-18T17:30:47.464014
17452.0,28029.0,38045.0,13240.0,24645.0,-2768.0,15718.0,63.0,170.0,20,F,2,2019-06-18T17:30:48.064769
17439.0,28287.0,37989.0,13079.0,25043.0,-2726.0,15747.0,63.0,170.0,20,F,2,2019-06-18T17:30:48.599973
17792.0,27743.0,37969.0,13152.0,24976.0,-2764.0,16233.0,63.0,170.0,20,F,2,2019-06-18T17:30:49.201220
17710.0,27746.0,38132.0,13124.0,24540.0,-2775.0,15980.0,63.0,170.0,20,F,2,2019-06-18T17:30:49.735196
17444.0,27391.0,37888.0,13109.0,23799.0,-2693.0,16947.0,63.0,170.0,20,F,2,2019-06-18T17:30:50.337212
17109.0,27308.0,37733.0,13014.0,23527.0,-2747.0,17310.0,63.0,170.0,20,F,2,2019-06-18T17:30:50.871497
18077.0,27321.0,37841.0,13168.0,23359.0,-2713.0,15554.0,63.0,170.0,20,F,2,2019-06-18T17:30:51.473415
