seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-42056.0,-31680.0,20202.0,21925.0,-8248.0,13080.0,-442.0,73.0,171.0,26,M,3,2019-06-17T17:46:40.286705
-42180.0,-31626.0,21999.0,23770.0,-8572.0,11996.0,-412.0,73.0,171.0,26,M,3,2019-06-17T17:46:40.890262
-42116.0,-31790.0,21336.0,23225.0,-7801.0,12636.0,-322.0,73.0,171.0,26,M,3,2019-06-17T17:46:41.421874
-42088.0,-31954.0,21553.0,23989.0,-7414.0,13151.0,-329.0,73.0,171.0,26,M,3,2019-06-17T17:46:42.025696
-42149.0,-31975.0,21946.0,24744.0,-7311.0,13520.0,-305.0,73.0,171.0,26,M,3,2019-06-17T17:46:42.556931
-42132.0,-32002.0,21869.0,24642.0,-7821.0,13498.0,-283.0,73.0,171.0,26,M,3,2019-06-17T17:46:43.161103
-42070.0,-31926.0,21818.0,24490.0,-8064.0,13306.0,-290.0,73.0,171.0,26,M,3,2019-06-17T17:46:43.692280
-42060.0,-31997.0,21841.0,24733.0,-7580.0,13805.0,-237.0,73.0,171.0,26,M,3,2019-06-17T17:46:44.296593
-42102.0,-31951.0,21245.0,24217.0,-8589.0,12103.0,-267.0,73.0,171.0,26,M,3,2019-06-17T17:46:44.827352
-42047.0,-31835.0,21339.0,23931.0,-9018.0,11530.0,-232.0,73.0,171.0,26,M,3,2019-06-17T17:46:45.432271
-42015.0,-31823.0,21271.0,24058.0,-8697.0,12136.0,-224.0,73.0,171.0,26,M,3,2019-06-17T17:46:45.962684
-41942.0,-31776.0,21011.0,23990.0,-8507.0,11815.0,-251.0,73.0,171.0,26,M,3,2019-06-17T17:46:46.567962
-41896.0,-31807.0,20869.0,24087.0,-8910.0,11818.0,-175.0,73.0,171.0,26,M,3,2019-06-17T17:46:47.097677
-41897.0,-31844.0,21279.0,24243.0,-8221.0,12139.0,-167.0,73.0,171.0,26,M,3,2019-06-17T17:46:47.703454
-41794.0,-31947.0,21523.0,24244.0,-8044.0,12172.0,-139.0,73.0,171.0,26,M,3,2019-06-17T17:46:48.232933
-41803.0,-31907.0,21469.0,24348.0,-8569.0,12066.0,-160.0,73.0,171.0,26,M,3,2019-06-17T17:46:48.839035
-41753.0,-31912.0,21856.0,23964.0,-9189.0,11771.0,-151.0,73.0,171.0,26,M,3,2019-06-17T17:46:49.367947
-41770.0,-31907.0,21916.0,23912.0,-8703.0,11596.0,-151.0,73.0,171.0,26,M,3,2019-06-17T17:46:49.974607
-41723.0,-31886.0,21975.0,24233.0,-10433.0,12644.0,-91.0,73.0,171.0,26,M,3,2019-06-17T17:46:50.503347
-41793.0,-31915.0,21642.0,24448.0,-9873.0,12489.0,-157.0,73.0,171.0,26,M,3,2019-06-17T17:46:51.110119
