seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-42498.0,-27797.0,19117.0,10206.0,6490.0,9346.0,-3557.0,85.0,179.0,25,M,3,2019-06-17T17:36:50.365772
-42419.0,-27765.0,18985.0,10076.0,6323.0,9357.0,-3505.0,85.0,179.0,25,M,3,2019-06-17T17:36:50.961474
-42473.0,-27734.0,19082.0,10144.0,6405.0,9428.0,-3562.0,85.0,179.0,25,M,3,2019-06-17T17:36:51.500989
-42426.0,-27711.0,19122.0,10054.0,6301.0,9617.0,-3522.0,85.0,179.0,25,M,3,2019-06-17T17:36:52.096858
-42372.0,-27729.0,19094.0,10255.0,6070.0,9244.0,-3587.0,85.0,179.0,25,M,3,2019-06-17T17:36:52.636368
-42426.0,-27687.0,19035.0,10071.0,5695.0,9016.0,-3556.0,85.0,179.0,25,M,3,2019-06-17T17:36:53.232402
-42416.0,-27633.0,19069.0,9935.0,5860.0,9449.0,-3618.0,85.0,179.0,25,M,3,2019-06-17T17:36:53.771573
-42380.0,-27743.0,19088.0,10175.0,5573.0,8987.0,-3505.0,85.0,179.0,25,M,3,2019-06-17T17:36:54.367955
-42414.0,-27693.0,18995.0,10079.0,5322.0,8705.0,-3534.0,85.0,179.0,25,M,3,2019-06-17T17:36:54.906704
-42410.0,-27668.0,18895.0,10299.0,6150.0,9759.0,-3567.0,85.0,179.0,25,M,3,2019-06-17T17:36:55.503737
-42463.0,-27658.0,19042.0,10132.0,5929.0,9943.0,-3526.0,85.0,179.0,25,M,3,2019-06-17T17:36:56.042004
-42370.0,-27687.0,19008.0,10191.0,5392.0,9321.0,-3600.0,85.0,179.0,25,M,3,2019-06-17T17:36:56.639412
-42334.0,-27655.0,18963.0,10195.0,5275.0,8899.0,-3581.0,85.0,179.0,25,M,3,2019-06-17T17:36:57.177209
-42433.0,-27557.0,18976.0,10121.0,5540.0,9264.0,-3567.0,85.0,179.0,25,M,3,2019-06-17T17:36:57.775037
-42494.0,-27641.0,19122.0,9830.0,5898.0,9628.0,-3607.0,85.0,179.0,25,M,3,2019-06-17T17:36:58.312444
-42412.0,-27621.0,19179.0,9901.0,5927.0,9331.0,-3615.0,85.0,179.0,25,M,3,2019-06-17T17:36:58.910453
-42335.0,-27583.0,19029.0,10190.0,5472.0,8951.0,-3632.0,85.0,179.0,25,M,3,2019-06-17T17:36:59.447688
-42408.0,-27530.0,19090.0,9919.0,5550.0,9133.0,-3604.0,85.0,179.0,25,M,3,2019-06-17T17:37:00.046115
-42505.0,-27441.0,19235.0,9784.0,5799.0,9362.0,-3656.0,85.0,179.0,25,M,3,2019-06-17T17:37:00.582982
-42339.0,-27524.0,19117.0,10212.0,5275.0,8881.0,-3607.0,85.0,179.0,25,M,3,2019-06-17T17:37:01.181543
