seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-9096.0,7340.0,43346.0,41750.0,30253.0,18611.0,1672.0,90.0,180.0,38,M,3,2019-06-17T16:37:20.313451
-9043.0,7321.0,43446.0,42073.0,28497.0,18516.0,1685.0,90.0,180.0,38,M,3,2019-06-17T16:37:20.837134
-9058.0,7279.0,43177.0,42004.0,28395.0,18570.0,1682.0,90.0,180.0,38,M,3,2019-06-17T16:37:21.404331
-9143.0,7244.0,43708.0,43239.0,27270.0,19456.0,1669.0,90.0,180.0,38,M,3,2019-06-17T16:37:21.972051
-9136.0,7246.0,39157.0,44157.0,28865.0,17514.0,1676.0,90.0,180.0,38,M,3,2019-06-17T16:37:22.539370
-9130.0,7321.0,42135.0,42926.0,33560.0,20991.0,1600.0,90.0,180.0,38,M,3,2019-06-17T16:37:23.106824
-9132.0,7281.0,42861.0,43107.0,34683.0,19959.0,1650.0,90.0,180.0,38,M,3,2019-06-17T16:37:23.674347
-9084.0,7236.0,43413.0,43283.0,34163.0,19888.0,1630.0,90.0,180.0,38,M,3,2019-06-17T16:37:24.241709
-9118.0,7234.0,43527.0,43157.0,33391.0,19464.0,1565.0,90.0,180.0,38,M,3,2019-06-17T16:37:24.809149
-9076.0,7255.0,43809.0,43108.0,32584.0,19533.0,1597.0,90.0,180.0,38,M,3,2019-06-17T16:37:25.376568
-9069.0,7211.0,44068.0,43740.0,32814.0,19597.0,1612.0,90.0,180.0,38,M,3,2019-06-17T16:37:25.944016
-9117.0,7220.0,44256.0,44359.0,32390.0,19552.0,1613.0,90.0,180.0,38,M,3,2019-06-17T16:37:26.511452
-9152.0,7258.0,44627.0,44773.0,31803.0,19475.0,1574.0,90.0,180.0,38,M,3,2019-06-17T16:37:27.078431
-9165.0,7226.0,44832.0,44143.0,32374.0,19459.0,1549.0,90.0,180.0,38,M,3,2019-06-17T16:37:27.646284
-9135.0,7173.0,44563.0,44738.0,32846.0,19007.0,1563.0,90.0,180.0,38,M,3,2019-06-17T16:37:28.213749
-9156.0,7227.0,44411.0,44644.0,33008.0,19565.0,1570.0,90.0,180.0,38,M,3,2019-06-17T16:37:28.781180
-9158.0,7176.0,44538.0,44484.0,33039.0,19629.0,1541.0,90.0,180.0,38,M,3,2019-06-17T16:37:29.348611
-9154.0,7176.0,44406.0,44262.0,33009.0,19852.0,1566.0,90.0,180.0,38,M,3,2019-06-17T16:37:29.915495
-9109.0,7212.0,44626.0,44367.0,33898.0,19744.0,1531.0,90.0,180.0,38,M,3,2019-06-17T16:37:30.483557
-9108.0,7176.0,44501.0,44074.0,34566.0,20409.0,1493.0,90.0,180.0,38,M,3,2019-06-17T16:37:31.050958
