seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-39945.0,-27990.0,23819.0,10992.0,14068.0,11335.0,-3687.0,74.0,192.0,24,M,3,2019-06-17T17:29:39.697571
-38964.0,-26960.0,23407.0,11064.0,13727.0,12123.0,-3760.0,74.0,192.0,24,M,3,2019-06-17T17:29:40.247948
-39209.0,-26979.0,23480.0,11203.0,13601.0,12392.0,-3725.0,74.0,192.0,24,M,3,2019-06-17T17:29:40.833143
-39363.0,-27126.0,23549.0,11149.0,14153.0,12027.0,-3601.0,74.0,192.0,24,M,3,2019-06-17T17:29:41.382994
-38891.0,-26903.0,22884.0,10640.0,14329.0,10423.0,-3671.0,74.0,192.0,24,M,3,2019-06-17T17:29:41.968835
-38937.0,-26930.0,22803.0,10802.0,14563.0,11311.0,-3659.0,74.0,192.0,24,M,3,2019-06-17T17:29:42.517999
-39114.0,-27012.0,22879.0,10800.0,13639.0,10625.0,-3662.0,74.0,192.0,24,M,3,2019-06-17T17:29:43.104281
-39476.0,-27323.0,23315.0,11562.0,13911.0,10818.0,-3625.0,74.0,192.0,24,M,3,2019-06-17T17:29:43.653200
-39331.0,-26974.0,23650.0,11123.0,15490.0,11512.0,-3645.0,74.0,192.0,24,M,3,2019-06-17T17:29:44.239906
-39414.0,-27111.0,23698.0,11163.0,16281.0,11579.0,-3617.0,74.0,192.0,24,M,3,2019-06-17T17:29:44.788260
-39255.0,-26876.0,23441.0,10986.0,16106.0,11402.0,-3705.0,74.0,192.0,24,M,3,2019-06-17T17:29:45.375595
-38896.0,-26755.0,23210.0,10993.0,15445.0,11494.0,-3706.0,74.0,192.0,24,M,3,2019-06-17T17:29:45.923317
-38807.0,-26561.0,23249.0,11140.0,15163.0,11595.0,-3687.0,74.0,192.0,24,M,3,2019-06-17T17:29:46.511110
-38519.0,-26408.0,23082.0,10899.0,14845.0,11409.0,-3706.0,74.0,192.0,24,M,3,2019-06-17T17:29:47.058051
-38438.0,-26383.0,22899.0,10787.0,14971.0,11669.0,-3716.0,74.0,192.0,24,M,3,2019-06-17T17:29:47.646737
-38325.0,-26287.0,22675.0,10934.0,14401.0,11314.0,-3698.0,74.0,192.0,24,M,3,2019-06-17T17:29:48.193148
-38247.0,-26197.0,22506.0,10937.0,13955.0,11291.0,-3691.0,74.0,192.0,24,M,3,2019-06-17T17:29:48.782335
-38067.0,-26058.0,22223.0,11543.0,13757.0,11764.0,-3753.0,74.0,192.0,24,M,3,2019-06-17T17:29:49.328245
-38080.0,-26079.0,22490.0,11757.0,13704.0,11763.0,-3716.0,74.0,192.0,24,M,3,2019-06-17T17:29:49.917949
-38107.0,-26093.0,22329.0,11626.0,14025.0,11860.0,-3707.0,74.0,192.0,24,M,3,2019-06-17T17:29:50.463404
