seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-12942.0,10308.0,3536.0,612.0,32729.0,8095.0,-11889.0,49.0,160.0,58,F,3,2019-06-19T14:15:14.614206
-12873.0,10412.0,3609.0,577.0,33849.0,7719.0,-11921.0,49.0,160.0,58,F,3,2019-06-19T14:15:15.182818
-13021.0,10145.0,3867.0,510.0,36288.0,10386.0,-11911.0,49.0,160.0,58,F,3,2019-06-19T14:15:15.750324
-12836.0,10134.0,3832.0,549.0,35330.0,9407.0,-11930.0,49.0,160.0,58,F,3,2019-06-19T14:15:16.318975
-12745.0,10235.0,3609.0,558.0,34716.0,9840.0,-11911.0,49.0,160.0,58,F,3,2019-06-19T14:15:16.886906
-12821.0,10269.0,3585.0,599.0,34569.0,10044.0,-11881.0,49.0,160.0,58,F,3,2019-06-19T14:15:17.455066
-12722.0,10086.0,3575.0,547.0,33817.0,10385.0,-11892.0,49.0,160.0,58,F,3,2019-06-19T14:15:18.022633
-12749.0,10130.0,3582.0,580.0,32901.0,9910.0,-11902.0,49.0,160.0,58,F,3,2019-06-19T14:15:18.591174
-12608.0,10207.0,3721.0,519.0,32922.0,8120.0,-11885.0,49.0,160.0,58,F,3,2019-06-19T14:15:19.159281
-12788.0,10049.0,3955.0,600.0,32390.0,8939.0,-11909.0,49.0,160.0,58,F,3,2019-06-19T14:15:19.727377
-13028.0,10102.0,4237.0,556.0,32050.0,9457.0,-11898.0,49.0,160.0,58,F,3,2019-06-19T14:15:20.295392
-12927.0,10037.0,3837.0,577.0,32351.0,9696.0,-11847.0,49.0,160.0,58,F,3,2019-06-19T14:15:20.863584
-12616.0,9931.0,3207.0,586.0,31259.0,10794.0,-11851.0,49.0,160.0,58,F,3,2019-06-19T14:15:21.431524
-12447.0,10300.0,3294.0,573.0,31051.0,8620.0,-11825.0,49.0,160.0,58,F,3,2019-06-19T14:15:21.999593
-12556.0,10287.0,3368.0,520.0,30741.0,8885.0,-11869.0,49.0,160.0,58,F,3,2019-06-19T14:15:22.567783
-12489.0,10174.0,3374.0,522.0,30655.0,9189.0,-11941.0,49.0,160.0,58,F,3,2019-06-19T14:15:23.135773
-12477.0,10228.0,3250.0,639.0,30805.0,9948.0,-11852.0,49.0,160.0,58,F,3,2019-06-19T14:15:23.704121
-12422.0,10155.0,3119.0,395.0,31331.0,11904.0,-11842.0,49.0,160.0,58,F,3,2019-06-19T14:15:24.271976
-12479.0,10217.0,3249.0,420.0,30505.0,9629.0,-11854.0,49.0,160.0,58,F,3,2019-06-19T14:15:24.840812
-12458.0,10350.0,3368.0,515.0,30621.0,8009.0,-11865.0,49.0,160.0,58,F,3,2019-06-19T14:15:25.408217
