seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
28113.0,30780.0,27561.0,15596.0,11864.0,458.0,6209.0,70.0,165.0,23,F,3,2019-06-18T12:52:59.951497
28234.0,30716.0,27302.0,15892.0,12800.0,1390.0,6193.0,70.0,165.0,23,F,3,2019-06-18T12:53:00.467674
27965.0,30609.0,27260.0,15594.0,12631.0,874.0,6175.0,70.0,165.0,23,F,3,2019-06-18T12:53:01.033556
27660.0,30529.0,27513.0,15834.0,11450.0,158.0,6240.0,70.0,165.0,23,F,3,2019-06-18T12:53:01.603765
27163.0,30234.0,27394.0,15802.0,10471.0,-426.0,6184.0,70.0,165.0,23,F,3,2019-06-18T12:53:02.168953
27532.0,31013.0,27255.0,15743.0,11531.0,719.0,6191.0,70.0,165.0,23,F,3,2019-06-18T12:53:02.739689
28018.0,30546.0,27271.0,15712.0,11975.0,668.0,6114.0,70.0,165.0,23,F,3,2019-06-18T12:53:03.304622
27757.0,30572.0,27489.0,15701.0,12492.0,146.0,6211.0,70.0,165.0,23,F,3,2019-06-18T12:53:03.875598
27563.0,30537.0,27546.0,15876.0,11833.0,667.0,6188.0,70.0,165.0,23,F,3,2019-06-18T12:53:04.440067
27744.0,30408.0,27839.0,15691.0,12034.0,191.0,6186.0,70.0,165.0,23,F,3,2019-06-18T12:53:05.011304
27873.0,30432.0,27771.0,15469.0,12166.0,271.0,6195.0,70.0,165.0,23,F,3,2019-06-18T12:53:05.575725
27930.0,30404.0,27569.0,15185.0,12259.0,433.0,6244.0,70.0,165.0,23,F,3,2019-06-18T12:53:06.147191
27862.0,30419.0,27470.0,16122.0,12213.0,676.0,6194.0,70.0,165.0,23,F,3,2019-06-18T12:53:06.711331
27681.0,30381.0,27651.0,15776.0,11940.0,478.0,6192.0,70.0,165.0,23,F,3,2019-06-18T12:53:07.282983
27847.0,30288.0,28241.0,15673.0,11858.0,279.0,6155.0,70.0,165.0,23,F,3,2019-06-18T12:53:07.846831
28115.0,30232.0,28403.0,15830.0,12087.0,686.0,6188.0,70.0,165.0,23,F,3,2019-06-18T12:53:08.418856
29010.0,30432.0,28597.0,15001.0,12524.0,956.0,6235.0,70.0,165.0,23,F,3,2019-06-18T12:53:08.982468
28736.0,30342.0,28385.0,15164.0,12193.0,875.0,6163.0,70.0,165.0,23,F,3,2019-06-18T12:53:09.554783
28365.0,30454.0,28644.0,15376.0,11900.0,669.0,6140.0,70.0,165.0,23,F,3,2019-06-18T12:53:10.117993
28029.0,30597.0,28266.0,15341.0,11645.0,377.0,6227.0,70.0,165.0,23,F,3,2019-06-18T12:53:10.690508
