seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-12720.0,2003.0,74448.0,82065.0,6311.0,1258.0,-11250.0,75.0,192.0,28,M,4,2019-06-19T12:01:02.771214
-12695.0,2054.0,70592.0,86303.0,6761.0,1231.0,-11218.0,75.0,192.0,28,M,4,2019-06-19T12:01:03.330615
-12636.0,1999.0,70256.0,89049.0,7619.0,1300.0,-11249.0,75.0,192.0,28,M,4,2019-06-19T12:01:03.909006
-12759.0,1971.0,70876.0,85850.0,7335.0,1378.0,-11182.0,75.0,192.0,28,M,4,2019-06-19T12:01:04.466753
-12713.0,2014.0,70589.0,85978.0,7260.0,1267.0,-11186.0,75.0,192.0,28,M,4,2019-06-19T12:01:05.044338
-12698.0,2034.0,70555.0,84941.0,7132.0,1338.0,-11195.0,75.0,192.0,28,M,4,2019-06-19T12:01:05.602856
-12725.0,1962.0,70423.0,85059.0,7139.0,1335.0,-11261.0,75.0,192.0,28,M,4,2019-06-19T12:01:06.180921
-12682.0,2005.0,70357.0,85294.0,7095.0,1373.0,-11297.0,75.0,192.0,28,M,4,2019-06-19T12:01:06.738958
-12636.0,1980.0,70723.0,85092.0,6989.0,1329.0,-11288.0,75.0,192.0,28,M,4,2019-06-19T12:01:07.317617
-12675.0,1981.0,70422.0,85245.0,6983.0,1379.0,-11292.0,75.0,192.0,28,M,4,2019-06-19T12:01:07.874860
-12610.0,2014.0,70306.0,85402.0,6862.0,1322.0,-11319.0,75.0,192.0,28,M,4,2019-06-19T12:01:08.454221
-12582.0,1955.0,70123.0,85025.0,6780.0,1373.0,-11343.0,75.0,192.0,28,M,4,2019-06-19T12:01:09.010938
-12596.0,1962.0,70430.0,84835.0,6636.0,1328.0,-11298.0,75.0,192.0,28,M,4,2019-06-19T12:01:09.590807
-12600.0,1920.0,70222.0,85134.0,6611.0,1415.0,-11305.0,75.0,192.0,28,M,4,2019-06-19T12:01:10.147138
-12576.0,1987.0,70294.0,84866.0,6535.0,1377.0,-11322.0,75.0,192.0,28,M,4,2019-06-19T12:01:10.727349
-12564.0,1960.0,70254.0,84924.0,6459.0,1344.0,-11261.0,75.0,192.0,28,M,4,2019-06-19T12:01:11.283278
-12578.0,1971.0,70476.0,84047.0,6413.0,1421.0,-11375.0,75.0,192.0,28,M,4,2019-06-19T12:01:11.863964
-12573.0,1961.0,70539.0,83935.0,6410.0,1395.0,-11410.0,75.0,192.0,28,M,4,2019-06-19T12:01:12.419298
-12573.0,1963.0,70383.0,84125.0,6352.0,1415.0,-11330.0,75.0,192.0,28,M,4,2019-06-19T12:01:13.000806
-12564.0,1905.0,70400.0,83495.0,6227.0,1478.0,-11354.0,75.0,192.0,28,M,4,2019-06-19T12:01:13.555323
