seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
2498.0,6055.0,291023.0,42051.0,-5053.0,540.0,-7165.0,66.0,178.0,24,M,4,2019-06-19T12:47:11.461276
2489.0,5970.0,286051.0,42404.0,-5050.0,494.0,-7167.0,66.0,178.0,24,M,4,2019-06-19T12:47:12.060670
2449.0,6028.0,244696.0,39928.0,-5007.0,505.0,-7123.0,66.0,178.0,24,M,4,2019-06-19T12:47:12.597230
2466.0,5989.0,247728.0,39591.0,-5096.0,507.0,-7198.0,66.0,178.0,24,M,4,2019-06-19T12:47:13.197054
2417.0,5955.0,216411.0,33615.0,-4195.0,533.0,-7132.0,66.0,178.0,24,M,4,2019-06-19T12:47:13.732560
2425.0,5937.0,252850.0,37365.0,-4296.0,515.0,-7147.0,66.0,178.0,24,M,4,2019-06-19T12:47:14.333233
2478.0,5967.0,248238.0,37751.0,-4326.0,478.0,-7142.0,66.0,178.0,24,M,4,2019-06-19T12:47:14.868123
2405.0,5978.0,240952.0,39005.0,-4399.0,513.0,-7149.0,66.0,178.0,24,M,4,2019-06-19T12:47:15.469293
2426.0,5961.0,257555.0,36166.0,-4408.0,526.0,-7097.0,66.0,178.0,24,M,4,2019-06-19T12:47:16.003201
2362.0,5949.0,256025.0,36331.0,-4469.0,481.0,-7161.0,66.0,178.0,24,M,4,2019-06-19T12:47:16.605287
2366.0,5909.0,245279.0,37533.0,-4465.0,425.0,-7167.0,66.0,178.0,24,M,4,2019-06-19T12:47:17.138850
2397.0,5907.0,249336.0,37038.0,-4600.0,401.0,-7120.0,66.0,178.0,24,M,4,2019-06-19T12:47:17.741469
2399.0,5911.0,257008.0,37958.0,-4659.0,372.0,-7124.0,66.0,178.0,24,M,4,2019-06-19T12:47:18.274320
2404.0,5913.0,255077.0,38163.0,-4695.0,350.0,-7035.0,66.0,178.0,24,M,4,2019-06-19T12:47:18.877689
2382.0,5875.0,253596.0,38155.0,-4719.0,331.0,-7053.0,66.0,178.0,24,M,4,2019-06-19T12:47:19.409655
2347.0,5832.0,251927.0,38022.0,-4734.0,300.0,-7095.0,66.0,178.0,24,M,4,2019-06-19T12:47:20.013712
2374.0,5921.0,250308.0,38406.0,-4784.0,240.0,-7064.0,66.0,178.0,24,M,4,2019-06-19T12:47:20.545100
2393.0,5788.0,250645.0,37895.0,-4892.0,369.0,-7130.0,66.0,178.0,24,M,4,2019-06-19T12:47:21.149793
2349.0,5804.0,257702.0,39321.0,-4924.0,263.0,-7097.0,66.0,178.0,24,M,4,2019-06-19T12:47:21.680524
2359.0,5781.0,259606.0,39027.0,-4833.0,292.0,-7155.0,66.0,178.0,24,M,4,2019-06-19T12:47:22.285820
