seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
781.0,13827.0,44863.0,40479.0,22783.0,-6634.0,-3592.0,78.0,173.0,24,M,4,2019-06-18T12:35:33.772392
3036.0,15375.0,41109.0,38404.0,22627.0,-6680.0,-3611.0,78.0,173.0,24,M,4,2019-06-18T12:35:34.380808
3961.0,15937.0,40580.0,37360.0,22330.0,-6619.0,-3611.0,78.0,173.0,24,M,4,2019-06-18T12:35:34.908100
2946.0,14803.0,41776.0,35622.0,21112.0,-6600.0,-3655.0,78.0,173.0,24,M,4,2019-06-18T12:35:35.517589
3525.0,15545.0,40610.0,33064.0,20637.0,-6592.0,-3627.0,78.0,173.0,24,M,4,2019-06-18T12:35:36.043114
3270.0,15450.0,40558.0,32612.0,20489.0,-6592.0,-3612.0,78.0,173.0,24,M,4,2019-06-18T12:35:36.610722
3452.0,15548.0,40337.0,32591.0,20784.0,-6623.0,-3593.0,78.0,173.0,24,M,4,2019-06-18T12:35:37.178267
3482.0,15542.0,40306.0,32392.0,21014.0,-6579.0,-3649.0,78.0,173.0,24,M,4,2019-06-18T12:35:37.745776
3436.0,15556.0,40486.0,32450.0,21275.0,-6569.0,-3639.0,78.0,173.0,24,M,4,2019-06-18T12:35:38.313031
3478.0,15514.0,40265.0,32383.0,21430.0,-6634.0,-3640.0,78.0,173.0,24,M,4,2019-06-18T12:35:38.880547
3370.0,15525.0,40430.0,32407.0,21566.0,-6636.0,-3663.0,78.0,173.0,24,M,4,2019-06-18T12:35:39.447874
3507.0,15495.0,40233.0,32328.0,21638.0,-6635.0,-3724.0,78.0,173.0,24,M,4,2019-06-18T12:35:40.015310
3378.0,15483.0,40351.0,32458.0,21733.0,-6657.0,-3642.0,78.0,173.0,24,M,4,2019-06-18T12:35:40.582701
3451.0,15573.0,40148.0,32286.0,21991.0,-6633.0,-3702.0,78.0,173.0,24,M,4,2019-06-18T12:35:41.149981
3370.0,15663.0,40063.0,32129.0,22080.0,-6651.0,-3714.0,78.0,173.0,24,M,4,2019-06-18T12:35:41.717527
3588.0,15693.0,39957.0,31904.0,22207.0,-6706.0,-3724.0,78.0,173.0,24,M,4,2019-06-18T12:35:42.284703
3534.0,15608.0,39937.0,31802.0,22434.0,-6617.0,-3718.0,78.0,173.0,24,M,4,2019-06-18T12:35:42.854162
3645.0,15826.0,39802.0,31627.0,22495.0,-6667.0,-3776.0,78.0,173.0,24,M,4,2019-06-18T12:35:43.420051
3435.0,15764.0,39980.0,31598.0,22541.0,-6671.0,-3726.0,78.0,173.0,24,M,4,2019-06-18T12:35:43.990827
3719.0,15901.0,39748.0,31678.0,22513.0,-6636.0,-3700.0,78.0,173.0,24,M,4,2019-06-18T12:35:44.555347
