seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
-13300.0,-225.0,47644.0,224.0,28508.0,5903.0,-10516.0,68.0,169.0,20,F,4,2019-06-20T11:45:42.630139
-13434.0,-250.0,50231.0,-138.0,28450.0,5852.0,-10550.0,68.0,169.0,20,F,4,2019-06-20T11:45:43.165901
-13319.0,-173.0,47380.0,16.0,28477.0,5903.0,-10554.0,68.0,169.0,20,F,4,2019-06-20T11:45:43.766075
-13357.0,-231.0,47493.0,133.0,28326.0,5917.0,-10574.0,68.0,169.0,20,F,4,2019-06-20T11:45:44.301892
-13419.0,-181.0,47299.0,138.0,28201.0,5915.0,-10528.0,68.0,169.0,20,F,4,2019-06-20T11:45:44.902136
-13431.0,-208.0,47070.0,216.0,28262.0,5925.0,-10606.0,68.0,169.0,20,F,4,2019-06-20T11:45:45.437788
-13424.0,-235.0,46907.0,102.0,28168.0,5990.0,-10564.0,68.0,169.0,20,F,4,2019-06-20T11:45:46.038134
-13465.0,-333.0,46837.0,80.0,28134.0,5966.0,-10659.0,68.0,169.0,20,F,4,2019-06-20T11:45:46.573934
-13482.0,-354.0,46833.0,106.0,28131.0,5908.0,-10640.0,68.0,169.0,20,F,4,2019-06-20T11:45:47.174216
-13474.0,-337.0,47022.0,131.0,28047.0,5961.0,-10613.0,68.0,169.0,20,F,4,2019-06-20T11:45:47.710036
-13510.0,-365.0,46712.0,110.0,28083.0,5985.0,-10680.0,68.0,169.0,20,F,4,2019-06-20T11:45:48.310296
-13501.0,-395.0,46283.0,125.0,28115.0,5983.0,-10658.0,68.0,169.0,20,F,4,2019-06-20T11:45:48.846065
-13558.0,-381.0,46044.0,65.0,28113.0,5968.0,-10692.0,68.0,169.0,20,F,4,2019-06-20T11:45:49.446347
-13508.0,-388.0,45743.0,159.0,28118.0,5951.0,-10751.0,68.0,169.0,20,F,4,2019-06-20T11:45:49.982097
-13607.0,-459.0,45668.0,94.0,28187.0,6019.0,-10733.0,68.0,169.0,20,F,4,2019-06-20T11:45:50.582379
-13575.0,-461.0,46588.0,106.0,28252.0,6019.0,-10722.0,68.0,169.0,20,F,4,2019-06-20T11:45:51.118133
-13604.0,-504.0,45904.0,50.0,28424.0,6004.0,-10769.0,68.0,169.0,20,F,4,2019-06-20T11:45:51.718350
-13568.0,-475.0,45114.0,85.0,28358.0,5988.0,-10763.0,68.0,169.0,20,F,4,2019-06-20T11:45:52.254164
-13647.0,-501.0,46904.0,45.0,28328.0,5958.0,-10828.0,68.0,169.0,20,F,4,2019-06-20T11:45:52.854284
-13635.0,-532.0,46561.0,13.0,28221.0,6020.0,-10865.0,68.0,169.0,20,F,4,2019-06-20T11:45:53.390152
