seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
3316.0,13495.0,38942.0,26438.0,-5756.0,-4562.0,8980.0,43.0,158.0,25,F,4,2019-06-17T13:22:28.045004
3225.0,13361.0,38584.0,26239.0,-5763.0,-4549.0,8964.0,43.0,158.0,25,F,4,2019-06-17T13:22:28.628445
3252.0,13257.0,38361.0,26343.0,-5648.0,-4550.0,8872.0,43.0,158.0,25,F,4,2019-06-17T13:22:29.196217
3212.0,13354.0,38270.0,26530.0,-5563.0,-4440.0,8896.0,43.0,158.0,25,F,4,2019-06-17T13:22:29.800451
3226.0,13319.0,38059.0,26594.0,-5585.0,-4436.0,8931.0,43.0,158.0,25,F,4,2019-06-17T13:22:30.331186
3247.0,13325.0,38097.0,26539.0,-5481.0,-4461.0,8903.0,43.0,158.0,25,F,4,2019-06-17T13:22:30.936269
3178.0,13323.0,38008.0,26453.0,-5337.0,-4352.0,8902.0,43.0,158.0,25,F,4,2019-06-17T13:22:31.466292
3154.0,13272.0,37764.0,26711.0,-5295.0,-4391.0,8893.0,43.0,158.0,25,F,4,2019-06-17T13:22:32.071813
3226.0,13266.0,37827.0,26885.0,-5216.0,-4253.0,8872.0,43.0,158.0,25,F,4,2019-06-17T13:22:32.601582
3132.0,13239.0,37306.0,26465.0,-5314.0,-4373.0,8820.0,43.0,158.0,25,F,4,2019-06-17T13:22:33.208032
3086.0,13190.0,37977.0,26520.0,-5177.0,-4368.0,8798.0,43.0,158.0,25,F,4,2019-06-17T13:22:33.736719
3055.0,13174.0,37856.0,26180.0,-5122.0,-4287.0,8815.0,43.0,158.0,25,F,4,2019-06-17T13:22:34.344038
3019.0,13177.0,38204.0,26601.0,-5115.0,-4292.0,8764.0,43.0,158.0,25,F,4,2019-06-17T13:22:34.871867
3062.0,13155.0,38141.0,26685.0,-5100.0,-4330.0,8749.0,43.0,158.0,25,F,4,2019-06-17T13:22:35.439325
3032.0,13108.0,38090.0,26586.0,-5013.0,-4262.0,8714.0,43.0,158.0,25,F,4,2019-06-17T13:22:36.006872
2961.0,13074.0,38096.0,26474.0,-5043.0,-4294.0,8678.0,43.0,158.0,25,F,4,2019-06-17T13:22:36.574552
2979.0,13080.0,37998.0,26549.0,-4967.0,-4228.0,8645.0,43.0,158.0,25,F,4,2019-06-17T13:22:37.141953
2977.0,13060.0,37878.0,26515.0,-4886.0,-4246.0,8675.0,43.0,158.0,25,F,4,2019-06-17T13:22:37.709626
2900.0,13066.0,37908.0,26548.0,-4843.0,-4220.0,8594.0,43.0,158.0,25,F,4,2019-06-17T13:22:38.277264
2961.0,13140.0,38363.0,25600.0,-4690.0,-4174.0,8651.0,43.0,158.0,25,F,4,2019-06-17T13:22:38.844889
