seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
2337.0,10183.0,85731.0,38045.0,18644.0,-11629.0,297.0,78.0,182.0,24,M,4,2019-06-18T13:00:48.842532
2270.0,10441.0,81660.0,37874.0,17071.0,-11670.0,231.0,78.0,182.0,24,M,4,2019-06-18T13:00:49.368319
2264.0,10091.0,87622.0,39132.0,16198.0,-11723.0,328.0,78.0,182.0,24,M,4,2019-06-18T13:00:49.935834
2353.0,10260.0,84628.0,38758.0,15891.0,-11781.0,377.0,78.0,182.0,24,M,4,2019-06-18T13:00:50.504499
2440.0,10211.0,87213.0,38860.0,15867.0,-11668.0,358.0,78.0,182.0,24,M,4,2019-06-18T13:00:51.071906
2428.0,10220.0,87804.0,39698.0,16017.0,-11692.0,375.0,78.0,182.0,24,M,4,2019-06-18T13:00:51.640592
2481.0,10201.0,88238.0,39628.0,15923.0,-11626.0,451.0,78.0,182.0,24,M,4,2019-06-18T13:00:52.250904
2572.0,10274.0,86826.0,38183.0,16072.0,-11639.0,429.0,78.0,182.0,24,M,4,2019-06-18T13:00:52.776686
2536.0,10285.0,86718.0,38467.0,16170.0,-11679.0,528.0,78.0,182.0,24,M,4,2019-06-18T13:00:53.344571
2575.0,10293.0,84935.0,40252.0,16258.0,-11694.0,516.0,78.0,182.0,24,M,4,2019-06-18T13:00:53.912771
2626.0,10309.0,90582.0,40306.0,15873.0,-11672.0,521.0,78.0,182.0,24,M,4,2019-06-18T13:00:54.480878
2642.0,10126.0,81681.0,46006.0,16402.0,-11670.0,577.0,78.0,182.0,24,M,4,2019-06-18T13:00:55.048929
2725.0,10182.0,85446.0,44488.0,16253.0,-11730.0,690.0,78.0,182.0,24,M,4,2019-06-18T13:00:55.659376
2657.0,10196.0,86052.0,42431.0,15959.0,-11660.0,631.0,78.0,182.0,24,M,4,2019-06-18T13:00:56.185073
2723.0,10278.0,90100.0,43167.0,15308.0,-11668.0,652.0,78.0,182.0,24,M,4,2019-06-18T13:00:56.753284
2741.0,10327.0,96626.0,44288.0,15080.0,-11655.0,713.0,78.0,182.0,24,M,4,2019-06-18T13:00:57.321300
2761.0,10340.0,97518.0,41044.0,14874.0,-11594.0,815.0,78.0,182.0,24,M,4,2019-06-18T13:00:57.889345
2821.0,10339.0,93465.0,40854.0,14813.0,-11707.0,784.0,78.0,182.0,24,M,4,2019-06-18T13:00:58.457429
2849.0,10433.0,90746.0,39412.0,14598.0,-11619.0,839.0,78.0,182.0,24,M,4,2019-06-18T13:00:59.025585
2872.0,10386.0,95799.0,40394.0,14460.0,-11664.0,826.0,78.0,182.0,24,M,4,2019-06-18T13:00:59.592988
