seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
25931.0,29392.0,14478.0,100838.0,35664.0,-2783.0,-3805.0,85.0,185.0,23,M,5,2019-06-18T15:10:07.811187
25778.0,29566.0,14494.0,100640.0,35404.0,-2758.0,-3804.0,85.0,185.0,23,M,5,2019-06-18T15:10:08.394839
26006.0,29532.0,14372.0,100207.0,35064.0,-2699.0,-3768.0,85.0,185.0,23,M,5,2019-06-18T15:10:08.946669
25911.0,29671.0,14318.0,99953.0,35152.0,-2655.0,-3755.0,85.0,185.0,23,M,5,2019-06-18T15:10:09.530587
26195.0,30049.0,14385.0,99728.0,35408.0,-2694.0,-3696.0,85.0,185.0,23,M,5,2019-06-18T15:10:10.081409
25990.0,29564.0,14344.0,99611.0,34862.0,-2665.0,-3664.0,85.0,185.0,23,M,5,2019-06-18T15:10:10.666458
26153.0,29422.0,14321.0,99011.0,34536.0,-2673.0,-3681.0,85.0,185.0,23,M,5,2019-06-18T15:10:11.216422
26212.0,29573.0,14200.0,98977.0,34218.0,-2624.0,-3683.0,85.0,185.0,23,M,5,2019-06-18T15:10:11.802210
26191.0,29821.0,14171.0,99295.0,34415.0,-2653.0,-3652.0,85.0,185.0,23,M,5,2019-06-18T15:10:12.351409
26511.0,29996.0,14122.0,99742.0,34384.0,-2705.0,-3652.0,85.0,185.0,23,M,5,2019-06-18T15:10:12.937989
26222.0,29608.0,14071.0,99085.0,34048.0,-2701.0,-3643.0,85.0,185.0,23,M,5,2019-06-18T15:10:13.486284
26281.0,29456.0,14048.0,98742.0,33778.0,-2723.0,-3639.0,85.0,185.0,23,M,5,2019-06-18T15:10:14.073423
26300.0,29594.0,14030.0,98637.0,33566.0,-2729.0,-3619.0,85.0,185.0,23,M,5,2019-06-18T15:10:14.621119
26391.0,29817.0,14072.0,98309.0,33838.0,-2655.0,-3615.0,85.0,185.0,23,M,5,2019-06-18T15:10:15.209210
26509.0,30178.0,14036.0,98389.0,33868.0,-2702.0,-3604.0,85.0,185.0,23,M,5,2019-06-18T15:10:15.756016
26247.0,29574.0,14129.0,98489.0,33079.0,-2721.0,-3634.0,85.0,185.0,23,M,5,2019-06-18T15:10:16.345452
26327.0,29572.0,14136.0,98246.0,32875.0,-2729.0,-3603.0,85.0,185.0,23,M,5,2019-06-18T15:10:16.890798
26410.0,29725.0,14069.0,98027.0,32996.0,-2694.0,-3656.0,85.0,185.0,23,M,5,2019-06-18T15:10:17.481156
26514.0,30027.0,14063.0,97575.0,33225.0,-2737.0,-3617.0,85.0,185.0,23,M,5,2019-06-18T15:10:18.025721
26333.0,30304.0,14008.0,96933.0,32780.0,-2762.0,-3583.0,85.0,185.0,23,M,5,2019-06-18T15:10:18.616821
