seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
83969.0,12620.0,25124.0,4214.0,17305.0,-1855.0,72.0,60.0,175.0,23,M,5,2019-06-18T16:52:35.636391
85798.0,12469.0,25187.0,4284.0,17823.0,-1832.0,12.0,60.0,175.0,23,M,5,2019-06-18T16:52:36.180576
86705.0,12569.0,25008.0,4409.0,19500.0,-2061.0,80.0,60.0,175.0,23,M,5,2019-06-18T16:52:36.772439
86104.0,12711.0,25019.0,4507.0,17724.0,-1928.0,76.0,60.0,175.0,23,M,5,2019-06-18T16:52:37.315706
85118.0,12681.0,24971.0,4489.0,17360.0,-1659.0,-11.0,60.0,175.0,23,M,5,2019-06-18T16:52:37.908339
85789.0,12604.0,24955.0,4549.0,17600.0,-1725.0,87.0,60.0,175.0,23,M,5,2019-06-18T16:52:38.450754
86005.0,12757.0,24895.0,4620.0,19279.0,-1899.0,12.0,60.0,175.0,23,M,5,2019-06-18T16:52:39.044095
85022.0,12854.0,24907.0,4669.0,17617.0,-1822.0,28.0,60.0,175.0,23,M,5,2019-06-18T16:52:39.585551
84610.0,12765.0,24858.0,4666.0,16920.0,-1471.0,73.0,60.0,175.0,23,M,5,2019-06-18T16:52:40.179764
85521.0,12750.0,24852.0,4717.0,16850.0,-1568.0,61.0,60.0,175.0,23,M,5,2019-06-18T16:52:40.721059
86952.0,12890.0,24862.0,4653.0,17717.0,-1888.0,36.0,60.0,175.0,23,M,5,2019-06-18T16:52:41.315652
85635.0,12793.0,24801.0,4818.0,17560.0,-1768.0,7.0,60.0,175.0,23,M,5,2019-06-18T16:52:41.856148
85876.0,12785.0,24823.0,4799.0,16950.0,-1537.0,7.0,60.0,175.0,23,M,5,2019-06-18T16:52:42.451342
85943.0,12828.0,24843.0,4837.0,16785.0,-1517.0,3.0,60.0,175.0,23,M,5,2019-06-18T16:52:42.990840
85747.0,12862.0,24816.0,4863.0,16879.0,-1474.0,0.0,60.0,175.0,23,M,5,2019-06-18T16:52:43.587054
87376.0,12925.0,24832.0,4816.0,17258.0,-1489.0,-27.0,60.0,175.0,23,M,5,2019-06-18T16:52:44.125929
86955.0,12965.0,24841.0,4809.0,18047.0,-1536.0,7.0,60.0,175.0,23,M,5,2019-06-18T16:52:44.722850
86091.0,12873.0,24846.0,4911.0,16892.0,-1382.0,18.0,60.0,175.0,23,M,5,2019-06-18T16:52:45.261067
86244.0,12925.0,24822.0,4892.0,16533.0,-1330.0,-7.0,60.0,175.0,23,M,5,2019-06-18T16:52:45.858635
86402.0,12967.0,24828.0,4887.0,16728.0,-1355.0,-13.0,60.0,175.0,23,M,5,2019-06-18T16:52:46.396158
