seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
17298.0,27760.0,15989.0,17734.0,18879.0,-2104.0,3572.0,71.0,169.0,24,M,5,2019-06-17T15:38:25.951923
15515.0,26947.0,16507.0,17546.0,21363.0,-1820.0,3559.0,71.0,169.0,24,M,5,2019-06-17T15:38:26.520063
15875.0,29730.0,16836.0,18354.0,24137.0,-1434.0,3832.0,71.0,169.0,24,M,5,2019-06-17T15:38:27.087142
16306.0,30029.0,16676.0,19066.0,22357.0,-1368.0,3884.0,71.0,169.0,24,M,5,2019-06-17T15:38:27.655170
16377.0,29064.0,16100.0,19106.0,21694.0,-1459.0,3910.0,71.0,169.0,24,M,5,2019-06-17T15:38:28.222768
16210.0,29700.0,16082.0,19040.0,21785.0,-1486.0,3937.0,71.0,169.0,24,M,5,2019-06-17T15:38:28.790303
15956.0,30137.0,15962.0,18874.0,21349.0,-1474.0,3935.0,71.0,169.0,24,M,5,2019-06-17T15:38:29.357924
16063.0,29897.0,15951.0,18819.0,21591.0,-1455.0,3995.0,71.0,169.0,24,M,5,2019-06-17T15:38:29.925437
16079.0,29746.0,16012.0,19029.0,21557.0,-1411.0,4014.0,71.0,169.0,24,M,5,2019-06-17T15:38:30.493919
16360.0,30274.0,15511.0,18970.0,20415.0,-1420.0,4044.0,71.0,169.0,24,M,5,2019-06-17T15:38:31.060088
16356.0,30175.0,15692.0,18904.0,19346.0,-1481.0,4066.0,71.0,169.0,24,M,5,2019-06-17T15:38:31.629577
16388.0,30511.0,15709.0,18907.0,18836.0,-1456.0,4058.0,71.0,169.0,24,M,5,2019-06-17T15:38:32.195692
14738.0,28286.0,16066.0,22379.0,16041.0,-1489.0,4047.0,71.0,169.0,24,M,5,2019-06-17T15:38:32.765232
14814.0,28763.0,16291.0,21059.0,14295.0,-1427.0,3994.0,71.0,169.0,24,M,5,2019-06-17T15:38:33.330793
15410.0,29401.0,16496.0,21153.0,13967.0,-1468.0,4078.0,71.0,169.0,24,M,5,2019-06-17T15:38:33.900848
15479.0,29473.0,16588.0,20909.0,14517.0,-1444.0,4082.0,71.0,169.0,24,M,5,2019-06-17T15:38:34.465987
15528.0,29523.0,16485.0,20786.0,14703.0,-1367.0,4104.0,71.0,169.0,24,M,5,2019-06-17T15:38:35.036473
15505.0,29441.0,16441.0,20747.0,14946.0,-1391.0,4117.0,71.0,169.0,24,M,5,2019-06-17T15:38:35.601149
15540.0,29645.0,16372.0,20881.0,14163.0,-1402.0,4115.0,71.0,169.0,24,M,5,2019-06-17T15:38:36.172041
15511.0,29558.0,16419.0,20773.0,14060.0,-1308.0,4150.0,71.0,169.0,24,M,5,2019-06-17T15:38:36.736179
