seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
10963.0,-19426.0,2901.0,5812.0,8572.0,-1620.0,-4286.0,74.0,192.0,24,M,5,2019-06-17T17:30:55.372084
10913.0,-19293.0,2901.0,5740.0,8356.0,-1603.0,-4284.0,74.0,192.0,24,M,5,2019-06-17T17:30:55.939758
10810.0,-19300.0,2888.0,5851.0,8495.0,-1639.0,-4273.0,74.0,192.0,24,M,5,2019-06-17T17:30:56.531116
10526.0,-19547.0,2901.0,5952.0,8877.0,-1696.0,-4257.0,74.0,192.0,24,M,5,2019-06-17T17:30:57.074946
10208.0,-19557.0,2920.0,6005.0,8731.0,-1666.0,-4275.0,74.0,192.0,24,M,5,2019-06-17T17:30:57.666877
10663.0,-19452.0,2891.0,5978.0,8675.0,-1702.0,-4306.0,74.0,192.0,24,M,5,2019-06-17T17:30:58.210113
10763.0,-19361.0,2883.0,5924.0,8441.0,-1741.0,-4304.0,74.0,192.0,24,M,5,2019-06-17T17:30:58.802527
10637.0,-19314.0,2917.0,5987.0,8223.0,-1732.0,-4283.0,74.0,192.0,24,M,5,2019-06-17T17:30:59.345413
11935.0,-19330.0,2664.0,5101.0,11404.0,-1659.0,-4328.0,74.0,192.0,24,M,5,2019-06-17T17:30:59.938099
11932.0,-19511.0,2644.0,6279.0,12889.0,-1731.0,-4324.0,74.0,192.0,24,M,5,2019-06-17T17:31:00.480558
10847.0,-19894.0,2610.0,6863.0,14568.0,-1750.0,-4344.0,74.0,192.0,24,M,5,2019-06-17T17:31:01.073776
12125.0,-19847.0,2601.0,6522.0,10775.0,-1726.0,-4370.0,74.0,192.0,24,M,5,2019-06-17T17:31:01.615832
12452.0,-19434.0,2739.0,5902.0,8891.0,-1750.0,-4346.0,74.0,192.0,24,M,5,2019-06-17T17:31:02.209855
11799.0,-19309.0,2716.0,5824.0,8232.0,-1752.0,-4377.0,74.0,192.0,24,M,5,2019-06-17T17:31:02.750916
11565.0,-19491.0,2687.0,5879.0,8229.0,-1724.0,-4403.0,74.0,192.0,24,M,5,2019-06-17T17:31:03.345689
11696.0,-19623.0,2728.0,5975.0,8521.0,-1732.0,-4385.0,74.0,192.0,24,M,5,2019-06-17T17:31:03.886541
11641.0,-19518.0,2748.0,6012.0,8544.0,-1779.0,-4367.0,74.0,192.0,24,M,5,2019-06-17T17:31:04.481460
11394.0,-19470.0,2760.0,5994.0,8697.0,-1726.0,-4387.0,74.0,192.0,24,M,5,2019-06-17T17:31:05.020921
11031.0,-19316.0,2751.0,6218.0,9095.0,-1812.0,-4436.0,74.0,192.0,24,M,5,2019-06-17T17:31:05.617256
11253.0,-19357.0,2796.0,6221.0,9083.0,-1679.0,-4433.0,74.0,192.0,24,M,5,2019-06-17T17:31:06.156618
