seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
23522.0,20979.0,18665.0,34574.0,13590.0,-3230.0,6736.0,43.0,158.0,25,F,5,2019-06-17T13:23:26.594532
23359.0,20869.0,18549.0,34971.0,13147.0,-3201.0,6669.0,43.0,158.0,25,F,5,2019-06-17T13:23:27.187856
23432.0,20886.0,18505.0,35028.0,13237.0,-3221.0,6668.0,43.0,158.0,25,F,5,2019-06-17T13:23:27.755010
23472.0,21043.0,18532.0,34946.0,14312.0,-3167.0,6595.0,43.0,158.0,25,F,5,2019-06-17T13:23:28.349994
23223.0,20944.0,18424.0,34867.0,13946.0,-3224.0,6644.0,43.0,158.0,25,F,5,2019-06-17T13:23:28.891166
23330.0,20969.0,18427.0,34870.0,13624.0,-3135.0,6650.0,43.0,158.0,25,F,5,2019-06-17T13:23:29.485841
23230.0,21011.0,18486.0,34798.0,13690.0,-3139.0,6538.0,43.0,158.0,25,F,5,2019-06-17T13:23:30.026386
23205.0,21099.0,18629.0,34607.0,13580.0,-3130.0,6494.0,43.0,158.0,25,F,5,2019-06-17T13:23:30.621487
23262.0,21136.0,18506.0,34862.0,12950.0,-3110.0,6571.0,43.0,158.0,25,F,5,2019-06-17T13:23:31.161626
23398.0,21157.0,18524.0,34799.0,12833.0,-3098.0,6536.0,43.0,158.0,25,F,5,2019-06-17T13:23:31.757872
23509.0,21133.0,18512.0,34902.0,12707.0,-3160.0,6464.0,43.0,158.0,25,F,5,2019-06-17T13:23:32.296614
23624.0,20970.0,18517.0,34804.0,13125.0,-3148.0,6460.0,43.0,158.0,25,F,5,2019-06-17T13:23:32.893759
23633.0,21065.0,18503.0,35061.0,13859.0,-3132.0,6422.0,43.0,158.0,25,F,5,2019-06-17T13:23:33.431922
23549.0,21104.0,18477.0,34807.0,13873.0,-3088.0,6400.0,43.0,158.0,25,F,5,2019-06-17T13:23:34.029707
23471.0,21005.0,18490.0,34312.0,13915.0,-3072.0,6356.0,43.0,158.0,25,F,5,2019-06-17T13:23:34.567506
23517.0,21051.0,18540.0,34604.0,13817.0,-3066.0,6349.0,43.0,158.0,25,F,5,2019-06-17T13:23:35.165492
23443.0,20992.0,18600.0,34482.0,13727.0,-3086.0,6313.0,43.0,158.0,25,F,5,2019-06-17T13:23:35.702457
23492.0,20982.0,18671.0,34672.0,13898.0,-3047.0,6303.0,43.0,158.0,25,F,5,2019-06-17T13:23:36.301481
23619.0,21136.0,18722.0,34897.0,14046.0,-3034.0,6259.0,43.0,158.0,25,F,5,2019-06-17T13:23:36.837726
23490.0,21068.0,18570.0,34577.0,13829.0,-3074.0,6226.0,43.0,158.0,25,F,5,2019-06-17T13:23:37.437489
