seduta1,seduta2,seduta3,seduta4,schienale1,schienale2,schienale3,peso,altezza,eta,sesso,postura,timestamp
18743.0,29630.0,16441.0,24845.0,12337.0,908.0,-838.0,66.0,170.0,24,M,5,2019-06-17T16:02:19.454646
18504.0,29791.0,16646.0,24311.0,12303.0,880.0,-873.0,66.0,170.0,24,M,5,2019-06-17T16:02:20.036525
18124.0,30370.0,16683.0,24252.0,11405.0,955.0,-958.0,66.0,170.0,24,M,5,2019-06-17T16:02:20.589535
22142.0,28627.0,16051.0,21939.0,11121.0,815.0,-604.0,66.0,170.0,24,M,5,2019-06-17T16:02:21.172156
21020.0,29500.0,16091.0,21005.0,13421.0,840.0,-645.0,66.0,170.0,24,M,5,2019-06-17T16:02:21.725149
20591.0,28982.0,16170.0,21825.0,11793.0,668.0,-806.0,66.0,170.0,24,M,5,2019-06-17T16:02:22.307850
18823.0,29321.0,16134.0,23567.0,12729.0,770.0,-924.0,66.0,170.0,24,M,5,2019-06-17T16:02:22.860218
19125.0,29177.0,16153.0,23385.0,13571.0,741.0,-914.0,66.0,170.0,24,M,5,2019-06-17T16:02:23.443642
18751.0,29624.0,16153.0,23434.0,12895.0,791.0,-942.0,66.0,170.0,24,M,5,2019-06-17T16:02:23.995242
18724.0,29432.0,16177.0,23267.0,13100.0,759.0,-933.0,66.0,170.0,24,M,5,2019-06-17T16:02:24.579438
19203.0,29071.0,16045.0,23437.0,13743.0,798.0,-958.0,66.0,170.0,24,M,5,2019-06-17T16:02:25.130291
19542.0,29466.0,16046.0,23378.0,14256.0,777.0,-913.0,66.0,170.0,24,M,5,2019-06-17T16:02:25.715029
19763.0,29577.0,16135.0,23229.0,13402.0,763.0,-901.0,66.0,170.0,24,M,5,2019-06-17T16:02:26.265449
19590.0,29531.0,16084.0,23216.0,13833.0,695.0,-931.0,66.0,170.0,24,M,5,2019-06-17T16:02:26.850743
19603.0,29531.0,16071.0,23185.0,12917.0,690.0,-890.0,66.0,170.0,24,M,5,2019-06-17T16:02:27.400477
19607.0,29377.0,16027.0,23155.0,12669.0,621.0,-845.0,66.0,170.0,24,M,5,2019-06-17T16:02:27.986502
19441.0,29433.0,16012.0,23022.0,12475.0,748.0,-908.0,66.0,170.0,24,M,5,2019-06-17T16:02:28.535514
19339.0,29280.0,15976.0,22889.0,11653.0,709.0,-1002.0,66.0,170.0,24,M,5,2019-06-17T16:02:29.122296
19259.0,29315.0,16003.0,22803.0,11881.0,757.0,-841.0,66.0,170.0,24,M,5,2019-06-17T16:02:29.670690
19685.0,29475.0,15930.0,22866.0,12969.0,692.0,-932.0,66.0,170.0,24,M,5,2019-06-17T16:02:30.258202
